Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0.00223819572	0.00817963663	0.00854938443	0.00854938443	0.00854938443	0.00854938443	0	0	0	0	0	0	3
2	14	0.00258031351	0.0163592733	-0.243555334	-0.0248765954	-0.243555334	0.00854938443	0.0334259799	0	0	0	0	0	3
3	17	0.00302177552	0.0245389099	-0.0148933	-0.0234181	-0.243555334	0.00854938443	0.0334259799	0	0	0	0	0	3
4	19	0.00355342751	0.0327185465	0.0134400021	-0.0179035135	-0.243555334	0.0134400021	0.0334259799	0	0	0	0	0	3
5	21	0.00410922047	0.0408981832	0.0167386466	-0.0132179853	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
6	23	0.00516516245	0.0490778198	0.00228933479	-0.0100477403	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
7	25	0.00636679793	0.0572574564	-0.00378761345	-0.00886623735	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
8	27	0.00759524009	0.0654370931	-0.00628779465	-0.00844920409	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
9	29	0.00878362715	0.0736167297	-0.00604320965	-0.00812368337	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
10	32	0.0099800313	0.0817963663	-0.00304563951	-0.00751492849	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
11	33	0.0117337301	0.0899760029	-0.000526223793	-0.00647041129	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
12	35	0.0133232266	0.0981556396	0.00409859113	-0.00520950109	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
13	37	0.0149195508	0.106335276	0.00906434475	-0.00368226438	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
14	39	0.0164399119	0.114514913	0.0124847238	-0.00218714318	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
15	41	0.0179447415	0.122694549	0.0156682746	-0.000689804178	-0.243555334	0.0167386466	0.0334259799	0	0	0	0	0	3
16	43	0.0200806789	0.130874186	0.0209128848	0.00160802602	-0.243555334	0.0209128848	0.0334259799	0	0	0	0	0	3
17	45	0.022015457	0.139053823	0.022427657	0.00343771171	-0.243555334	0.022427657	0.0334259799	0	0	0	0	0	3
18	47	0.0238804564	0.147233459	0.0258850586	0.00519078906	-0.243555334	0.0258850586	0.0334259799	0	0	0	0	0	3
19	49	0.025715145	0.155413096	0.0290204756	0.00689095661	-0.243555334	0.0290204756	0.0334259799	0	0	0	0	0	3
20	51	0.0275240418	0.163592733	0.0335439805	0.00864260961	-0.243555334	0.0335439805	0.0335192051	0	0	0	0	0	3
21	53	0.0302155906	0.171772369	0.0388687414	0.0113350973	-0.243555334	0.0388687414	0.0362116928	0	0	0	0	0	3
22	54	0.0327672172	0.179952006	0.0421678949	0.0137360881	-0.243555334	0.0421678949	0.0386126836	0	0	0	0	0	3
23	56	0.0352126386	0.188131643	0.0454434166	0.0159380753	-0.243555334	0.0454434166	0.0408146708	0	0	0	0	0	3
24	58	0.0375676136	0.196311279	0.0513165557	0.0181558217	-0.243555334	0.0513165557	0.0430324171	0	0	0	0	0	3
25	60	0.0398508581	0.204490916	0.054988287	0.0202661281	-0.243555334	0.054988287	0.0451427236	0	0	0	0	0	3
26	61	0.0431272339	0.212670552	0.0568184818	0.0230430104	-0.243555334	0.0568184818	0.0479196058	0	0	0	0	0	3
27	63	0.046372255	0.220850189	0.061210806	0.0257139027	-0.243555334	0.061210806	0.0505904982	0	0	0	0	0	3
28	65	0.0496215519	0.229029826	0.0659912726	0.0283513279	-0.243555334	0.0659912726	0.0532279234	0	0	0	0	0	3
29	67	0.0528183781	0.237209462	0.0663108791	0.0306488253	-0.243555334	0.0663108791	0.0555254208	0	0	0	0	0	3
30	69	0.0559385099	0.245389099	0.06912306	0.0327948368	-0.243555334	0.06912306	0.0576714323	0	0	0	0	0	3
31	70	0.0601505424	0.253568736	0.0726422146	0.0355851433	-0.243555334	0.0726422146	0.0604617388	0	0	0	0	0	3
32	72	0.0641508985	0.261748372	0.0727241278	0.037901076	-0.243555334	0.0727241278	0.0627776715	0	0	0	0	0	3
33	74	0.0679642974	0.269928009	0.0763379623	0.0400577257	-0.243555334	0.0763379623	0.0649343212	0	0	0	0	0	3
34	76	0.0719915976	0.278107645	0.0764946319	0.0420960519	-0.243555334	0.0764946319	0.0669726474	0	0	0	0	0	3
35	78	0.0762461217	0.286287282	0.0798572257	0.0442031207	-0.243555334	0.0798572257	0.0690797161	0	0	0	0	0	3
36	80	0.0801654715	0.294466919	0.0800107796	0.0459537839	-0.243555334	0.0800107796	0.0708303793	0	0	0	0	0	3
37	82	0.0841199933	0.302646555	0.0761671173	0.0473741274	-0.243555334	0.0800107796	0.0722507228	0	0	0	0	0	3
38	84	0.0878636834	0.310826192	0.078600367	0.048704613	-0.243555334	0.0800107796	0.0735812084	0	0	0	0	0	3
39	86	0.0917444865	0.319005829	0.0747833014	0.0498077447	-0.243555334	0.0800107796	0.0746843401	0	0	0	0	0	3
40	87	0.0954826624	0.327185465	0.0749532929	0.0507922007	-0.243555334	0.0800107796	0.0756687962	0	0	0	0	0	3
41	90	0.0993599312	0.335365102	0.0749667075	0.0517355494	-0.243555334	0.0800107796	0.0766121449	0	0	0	0	0	3
42	92	0.103332995	0.343544739	0.0708444498	0.05247027	-0.243555334	0.0800107796	0.0773468654	0	0	0	0	0	3
43	93	0.107158291	0.351724375	0.0699036033	0.0530925986	-0.243555334	0.0800107796	0.077969194	0	0	0	0	0	3
44	95	0.110923427	0.359904012	0.0694779609	0.053648776	-0.243555334	0.0800107796	0.0785253715	0	0	0	0	0	3
45	97	0.115252517	0.368083648	0.0684776843	0.0542057762	-0.243555334	0.0800107796	0.0790823717	0	0	0	0	0	3
46	99	0.118813492	0.376263285	0.0691831454	0.054654665	-0.243555334	0.0800107796	0.0795312604	0	0	0	0	0	3
47	100	0.122805632	0.384442922	0.0648367809	0.0549856631	-0.243555334	0.0800107796	0.0798622586	0	0	0	0	0	3
48	102	0.126032767	0.392622558	0.065497788	0.0552548316	-0.243555334	0.0800107796	0.080131427	0	0	0	0	0	3
49	104	0.129827582	0.400802195	0.0617839063	0.0554456742	-0.243555334	0.0800107796	0.0803222696	0	0	0	0	0	3
50	106	0.133369001	0.408981832	0.0597740034	0.0555606066	-0.243555334	0.0800107796	0.0804372021	0	0	0	0	0	3
51	108	0.137071417	0.417161468	0.0612157843	0.0557133578	-0.243555334	0.0800107796	0.0805899532	0	0	0	0	0	3
52	109	0.14078467	0.425341105	0.0575632639	0.0557621498	-0.243555334	0.0800107796	0.0806387453	0	0	0	0	0	3
53	111	0.144756092	0.433520741	0.0578041853	0.0558181736	-0.243555334	0.0800107796	0.0806947691	0	0	0	0	0	3
54	113	0.148473049	0.441700378	0.0593041581	0.0559054437	-0.243555334	0.0800107796	0.0807820391	0	0	0	0	0	3
55	115	0.15214298	0.449880015	0.0568466693	0.0559281475	-0.243555334	0.0800107796	0.080804743	0	0	0	0	0	3
56	117	0.155638806	0.458059651	0.0572502079	0.0559578425	-0.243555334	0.0800107796	0.080834438	0	0	0	0	0	3
57	119	0.15873993	0.466239288	0.0580707991	0.055999121	-0.243555334	0.0800107796	0.0808757164	0	0	0	0	0	3
58	121	0.162108991	0.474418925	0.0540713448	0.0559590566	-0.243555334	0.0800107796	0.0808757164	0	0	0	0	0	3
59	123	0.165596977	0.482598561	0.0572150828	0.0559855124	-0.243555334	0.0800107796	0.0808757164	0	0	0	0	0	3
60	124	0.169249515	0.490778198	0.0577031308	0.05602258	-0.243555334	0.0800107796	0.0808991754	0	0	0	0	0	3
61	126	0.172431424	0.498957835	0.0557716614	0.0560179497	-0.243555334	0.0800107796	0.0808991754	0	0	0	0	0	3
62	128	0.176340411	0.507137471	0.05818375	0.0560659596	-0.243555334	0.0800107796	0.0809425551	0	0	0	0	0	3
63	130	0.180219136	0.515317108	0.0553146768	0.0566471307	-0.243555334	0.0800107796	0.0815237262	0	0	0	0	0	3
64	132	0.18367959	0.523496744	0.0551907638	0.0571864201	-0.0148933	0.0800107796	0.0806045201	0	0	0	0	0	3
65	134	0.18676813	0.531676381	0.0570540033	0.0573573703	-0.00628779465	0.0800107796	0.0752608838	0	0	0	0	0	3
66	135	0.190515721	0.539856018	0.0553428989	0.0574418758	-0.00628779465	0.0800107796	0.0706598611	0	0	0	0	0	3
67	137	0.194209665	0.548035654	0.0568043074	0.0575484901	-0.00628779465	0.0800107796	0.0675962304	0	0	0	0	0	3
68	139	0.197824121	0.556215291	0.0582215031	0.0578639856	-0.00628779465	0.0800107796	0.066730223	0	0	0	0	0	3
69	141	0.201370311	0.564394928	0.0567132377	0.0582229637	-0.00628779465	0.0800107796	0.0666721677	0	0	0	0	0	3
70	143	0.204862666	0.572574564	0.0573560997	0.0586093444	-0.00604320965	0.0800107796	0.0667330278	0	0	0	0	0	3
71	144	0.208489245	0.580754201	0.0549234251	0.0589271371	-0.00304563951	0.0800107796	0.0664420656	0	0	0	0	0	3
72	146	0.212008649	0.588933837	0.0547546588	0.0592214511	-0.000526223793	0.0800107796	0.0656918624	0	0	0	0	0	3
73	148	0.215851624	0.597113474	0.0571486276	0.0596957535	0.00409859113	0.0800107796	0.0649052546	0	0	0	0	0	3
74	150	0.219290809	0.605293111	0.052498826	0.0600046367	0.00906434475	0.0800107796	0.0636869011	0	0	0	0	0	3
75	152	0.223067096	0.613472747	0.0540676882	0.0602875976	0.0124847238	0.0800107796	0.0624747408	0	0	0	0	0	3
76	153	0.226821989	0.621652384	0.058311067	0.060597776	0.0156682746	0.0800107796	0.0612875801	0	0	0	0	0	3
77	155	0.230547802	0.629832021	0.0558387666	0.0608323919	0.0209128848	0.0800107796	0.0590978948	0	0	0	0	0	3
78	157	0.233840574	0.638011657	0.0578533168	0.0611853868	0.022427657	0.0800107796	0.0575831226	0	0	0	0	0	3
79	159	0.23748547	0.646191294	0.058604586	0.0614897487	0.0258850586	0.0800107796	0.054125721	0	0	0	0	0	3
80	160	0.241335228	0.654370931	0.0555595035	0.0616901246	0.0290204756	0.0800107796	0.050990304	0	0	0	0	0	3
81	162	0.244287886	0.662550567	0.0573170981	0.0619052776	0.0335439805	0.0800107796	0.0464667991	0	0	0	0	0	3
82	164	0.248139202	0.670730204	0.0553185044	0.0620228349	0.0388687414	0.0800107796	0.0411420382	0	0	0	0	0	3
83	166	0.251714054	0.67890984	0.0550067545	0.0621909576	0.0421678949	0.0800107796	0.0378428847	0	0	0	0	0	3
84	168	0.255723687	0.687089477	0.0569178268	0.0623252801	0.0454434166	0.0800107796	0.034567363	0	0	0	0	0	3
85	170	0.259110105	0.695269114	0.0529681113	0.0623681389	0.0513165557	0.0800107796	0.0286942239	0	0	0	0	0	3
86	171	0.262461801	0.70344875	0.0534221143	0.0623505389	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
87	173	0.265734663	0.711628387	0.0583430397	0.0623668916	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
88	175	0.269563771	0.719808024	0.0560129163	0.0623397256	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
89	176	0.273045591	0.72798766	0.0574434382	0.0622806775	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
90	178	0.276594914	0.736167297	0.0583579602	0.0621662156	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
91	180	0.280015371	0.744346933	0.0562677526	0.0620190956	0.052498826	0.0800107796	0.0275119536	0	0	0	0	0	3
92	181	0.283500064	0.75252657	0.0577560879	0.0618564118	0.052498826	0.0800107796	0.0267829956	0	0	0	0	0	3
93	183	0.286661217	0.760706207	0.055662472	0.0615694049	0.052498826	0.0800107796	0.0244670629	0	0	0	0	0	3
94	185	0.290200033	0.768885843	0.0536099465	0.0612473956	0.052498826	0.0800107796	0.0223104132	0	0	0	0	0	3
95	186	0.29383373	0.77706548	0.056768963	0.0609205713	0.052498826	0.0800107796	0.020272087	0	0	0	0	0	3
96	188	0.297252246	0.785245117	0.0538343513	0.0605345927	0.052498826	0.0800107796	0.0181650182	0	0	0	0	0	3
97	190	0.30088985	0.793424753	0.054503651	0.0600709841	0.052498826	0.0800107796	0.016414355	0	0	0	0	0	3
98	192	0.304519756	0.80160439	0.0569474481	0.0596721097	0.052498826	0.078600367	0.0149940115	0	0	0	0	0	3
99	193	0.307873072	0.809784027	0.0545582544	0.0593039438	0.052498826	0.078600367	0.0136635259	0	0	0	0	0	3
100	195	0.311990966	0.817963663	0.0556994345	0.058915402	0.052498826	0.0749667075	0.0125603942	0	0	0	0	0	3
101	213	0.31555314	0.8261433	0.0596046301	0.0586512253	0.052498826	0.0749667075	0.0115759382	0	0	0	0	0	3
102	215	0.319378999	0.834322936	0.0563696704	0.0583400594	0.052498826	0.0749667075	0.0106325895	0	0	0	0	0	3
103	216	0.322508089	0.842502573	0.0569030505	0.0580310158	0.052498826	0.0708444498	0.00989786894	0	0	0	0	0	3
104	218	0.325895129	0.85068221	0.0573688559	0.0577922	0.052498826	0.0699036033	0.00927554031	0	0	0	0	0	3
105	220	0.329458081	0.858861846	0.055808904	0.0575520014	0.052498826	0.0694779609	0.00871936289	0	0	0	0	0	3
106	221	0.333358021	0.867041483	0.0580630538	0.0573590918	0.052498826	0.0691831454	0.00816236266	0	0	0	0	0	3
107	223	0.33661452	0.87522112	0.0561072119	0.0571232332	0.052498826	0.0691831454	0.0077134739	0	0	0	0	0	3
108	225	0.340443258	0.883400756	0.0554878314	0.0569012117	0.052498826	0.065497788	0.00738247576	0	0	0	0	0	3
109	226	0.344000337	0.891580393	0.0582626764	0.0567798839	0.052498826	0.065497788	0.00711330732	0	0	0	0	0	3
110	228	0.347181137	0.899760029	0.0562987437	0.0566457465	0.052498826	0.0617839063	0.00692246473	0	0	0	0	0	3
111	230	0.350515304	0.907939666	0.0573099649	0.0565674288	0.052498826	0.0612157843	0.00680753229	0	0	0	0	0	3
112	231	0.353846367	0.916119303	0.0587013686	0.0565481636	0.052498826	0.0612157843	0.0066547811	0	0	0	0	0	3
113	233	0.357536333	0.924298939	0.0564250674	0.0564677168	0.052498826	0.0596046301	0.00660598907	0	0	0	0	0	3
114	235	0.361314065	0.932478576	0.0562606788	0.0564457235	0.052498826	0.0596046301	0.00654996528	0	0	0	0	0	3
115	236	0.364925535	0.940658213	0.0565981243	0.0564237194	0.052498826	0.0596046301	0.00646269522	0	0	0	0	0	3
116	238	0.36837373	0.948837849	0.0541223486	0.0563389446	0.052498826	0.0596046301	0.00643999136	0	0	0	0	0	3
117	240	0.371300071	0.957017486	0.0566319525	0.0563343548	0.052498826	0.0596046301	0.00641029636	0	0	0	0	0	3
118	241	0.374807094	0.965197123	0.0564345064	0.0563213491	0.052498826	0.0596046301	0.00640908228	0	0	0	0	0	3
119	243	0.377977201	0.973376759	0.0543841564	0.0562685918	0.052498826	0.0596046301	0.00640908228	0	0	0	0	0	3
120	245	0.381932526	0.981556396	0.0578474093	0.0563306753	0.052498826	0.0596046301	0.00638262648	0	0	0	0	0	3
121	247	0.385280368	0.989736032	0.0567023957	0.056322298	0.052498826	0.0596046301	0.00635018917	0	0	0	0	0	3
122	248	0.389073867	0.997915669	0.0570163806	0.0563113323	0.052498826	0.0596046301	0.00635018917	0	0	0	0	0	3
123	250	0.392025716	1.00609531	0.0583985179	0.0563472086	0.052498826	0.0596046301	0.00630217927	0.00328216269	0	52	0	0	3
124	252	0.395841836	1.01427494	0.0560415151	0.056309188	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
125	253	0.399396118	1.02245458	0.0558353836	0.0563191042	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
126	255	0.403038252	1.03063422	0.0574038638	0.056354915	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
127	257	0.406656395	1.03881385	0.0542791451	0.0563109399	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
128	258	0.410360492	1.04699349	0.0548672353	0.0563031172	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
129	261	0.413736283	1.05517313	0.0553124149	0.0562794491	0.052498826	0.0596046301	0.00609954706	0.00328216269	0	53.8	0	0	3
130	262	0.417644158	1.06335276	0.0536803424	0.0562013104	0.052498826	0.0596046301	0.00616682852	0.00328216269	0	53.2	0	0	3
131	264	0.421252694	1.0715324	0.0550263403	0.0561737715	0.052498826	0.0596046301	0.00619436739	0.00328216269	0	52.9	0	0	3
132	266	0.42511988	1.07971204	0.0560225178	0.0561523691	0.052498826	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
133	268	0.428768493	1.08789167	0.0560183655	0.0561703823	0.052498826	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
134	269	0.432300808	1.09607131	0.0585992204	0.0562319457	0.052498826	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
135	271	0.43618608	1.10425095	0.0557218359	0.0562069623	0.052498826	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
136	273	0.439515647	1.11243058	0.0567218091	0.0562726551	0.0529681113	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
137	274	0.442823138	1.12061022	0.0569855185	0.0563212743	0.0529681113	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
138	276	0.44643131	1.12878986	0.0536028985	0.0562425899	0.0529681113	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
139	278	0.449935237	1.13696949	0.0558413528	0.0562430397	0.0529681113	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
140	280	0.453724359	1.14514913	0.0559677226	0.0562141813	0.0529681113	0.0596046301	0.00621576981	0.00328216269	0	52.8	0	0	3
141	282	0.457498648	1.15332877	0.0540545344	0.0561375318	0.0529681113	0.0596046301	0.00623060714	0.00328216269	0	52.6	0	0	3
142	284	0.460958308	1.1615084	0.0559288352	0.0561443764	0.0529681113	0.0596046301	0.00623060714	0.00328216269	0	52.6	0	0	3
143	286	0.464644516	1.16968804	0.0551050714	0.0561112767	0.0529681113	0.0596046301	0.00625686218	0.00328216269	0	52.4	0	0	3
144	287	0.468559786	1.17786767	0.0554811145	0.0561139351	0.0529681113	0.0596046301	0.00625686218	0.00328216269	0	52.4	0	0	3
145	289	0.472297804	1.18604731	0.0589851682	0.0561805344	0.0529681113	0.0596046301	0.00625686218	0.00328216269	0	52.4	0	0	3
146	291	0.475823268	1.19422695	0.0557228834	0.0561597724	0.0529681113	0.0596046301	0.00625686218	0.00328216269	0	52.4	0	0	3
147	293	0.479102144	1.20240658	0.0569703476	0.0562209841	0.0534221143	0.0596046301	0.00618251589	0.00328216269	0	53	0	0	3
