Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0.00223819572	0.00817963663	0	0	0	0	0	0	0	0	0	0	3
2	14	0.00258031351	0.0163592733	0	0	0	0	0	0	0	0	0	0	3
3	17	0.00302177552	0.0245389099	0	0	0	0	0	0	0	0	0	0	3
4	19	0.00355342751	0.0327185465	0	0	0	0	0	0	0	0	0	0	3
5	21	0.00410922047	0.0408981832	0	0	0	0	0	0	0	0	0	0	3
6	23	0.00516516245	0.0490778198	0	0	0	0	0	0	0	0	0	0	3
7	25	0.00636679793	0.0572574564	0	0	0	0	0	0	0	0	0	0	3
8	27	0.00759524009	0.0654370931	0	0	0	0	0	0	0	0	0	0	3
9	29	0.00878362715	0.0736167297	0	0	0	0	0	0	0	0	0	0	3
10	32	0.0099800313	0.0817963663	0	0	0	0	0	0	0	0	0	0	3
11	33	0.0117337301	0.0899760029	0	0	0	0	0	0	0	0	0	0	3
12	35	0.0133232266	0.0981556396	0	0	0	0	0	0	0	0	0	0	3
13	37	0.0149195508	0.106335276	0	0	0	0	0	0	0	0	0	0	3
14	39	0.0164399119	0.114514913	0	0	0	0	0	0	0	0	0	0	3
15	41	0.0179447415	0.122694549	0	0	0	0	0	0	0	0	0	0	3
16	43	0.0200806789	0.130874186	0	0	0	0	0	0	0	0	0	0	3
17	45	0.022015457	0.139053823	0	0	0	0	0	0	0	0	0	0	3
18	47	0.0238804564	0.147233459	0	0	0	0	0	0	0	0	0	0	3
19	49	0.025715145	0.155413096	0	0	0	0	0	0	0	0	0	0	3
20	51	0.0275240418	0.163592733	0	0	0	0	0	0	0	0	0	0	3
21	53	0.0302155906	0.171772369	0	0	0	0	0	0	0	0	0	0	3
22	54	0.0327672172	0.179952006	0	0	0	0	0	0	0	0	0	0	3
23	56	0.0352126386	0.188131643	0	0	0	0	0	0	0	0	0	0	3
24	58	0.0375676136	0.196311279	0	0	0	0	0	0	0	0	0	0	3
25	60	0.0398508581	0.204490916	0	0	0	0	0	0	0	0	0	0	3
26	61	0.0431272339	0.212670552	0	0	0	0	0	0	0	0	0	0	3
27	63	0.046372255	0.220850189	0	0	0	0	0	0	0	0	0	0	3
28	65	0.0496215519	0.229029826	0	0	0	0	0	0	0	0	0	0	3
29	67	0.0528183781	0.237209462	0	0	0	0	0	0	0	0	0	0	3
30	69	0.0559385099	0.245389099	0	0	0	0	0	0	0	0	0	0	3
31	70	0.0601505424	0.253568736	0	0	0	0	0	0	0	0	0	0	3
32	72	0.0641508985	0.261748372	0	0	0	0	0	0	0	0	0	0	3
33	74	0.0679642974	0.269928009	0	0	0	0	0	0	0	0	0	0	3
34	76	0.0719915976	0.278107645	0	0	0	0	0	0	0	0	0	0	3
35	78	0.0762461217	0.286287282	0	0	0	0	0	0	0	0	0	0	3
36	80	0.0801654715	0.294466919	0	0	0	0	0	0	0	0	0	0	3
37	82	0.0841199933	0.302646555	0	0	0	0	0	0	0	0	0	0	3
38	84	0.0878636834	0.310826192	0	0	0	0	0	0	0	0	0	0	3
39	86	0.0917444865	0.319005829	0	0	0	0	0	0	0	0	0	0	3
40	87	0.0954826624	0.327185465	0	0	0	0	0	0	0	0	0	0	3
41	90	0.0993599312	0.335365102	0	0	0	0	0	0	0	0	0	0	3
42	92	0.103332995	0.343544739	0	0	0	0	0	0	0	0	0	0	3
43	93	0.107158291	0.351724375	0	0	0	0	0	0	0	0	0	0	3
44	95	0.110923427	0.359904012	0	0	0	0	0	0	0	0	0	0	3
45	97	0.115252517	0.368083648	0	0	0	0	0	0	0	0	0	0	3
46	99	0.118813492	0.376263285	0	0	0	0	0	0	0	0	0	0	3
47	100	0.122805632	0.384442922	0	0	0	0	0	0	0	0	0	0	3
48	102	0.126032767	0.392622558	0	0	0	0	0	0	0	0	0	0	3
49	104	0.129827582	0.400802195	0	0	0	0	0	0	0	0	0	0	3
50	106	0.133369001	0.408981832	0	0	0	0	0	0	0	0	0	0	3
51	108	0.137071417	0.417161468	0	0	0	0	0	0	0	0	0	0	3
52	109	0.14078467	0.425341105	0	0	0	0	0	0	0	0	0	0	3
53	111	0.144756092	0.433520741	0	0	0	0	0	0	0	0	0	0	3
54	113	0.148473049	0.441700378	0	0	0	0	0	0	0	0	0	0	3
55	115	0.15214298	0.449880015	0	0	0	0	0	0	0	0	0	0	3
56	117	0.155638806	0.458059651	0	0	0	0	0	0	0	0	0	0	3
57	119	0.15873993	0.466239288	0	0	0	0	0	0	0	0	0	0	3
58	121	0.162108991	0.474418925	0	0	0	0	0	0	0	0	0	0	3
59	123	0.165596977	0.482598561	0	0	0	0	0	0	0	0	0	0	3
60	124	0.169249515	0.490778198	0	0	0	0	0	0	0	0	0	0	3
61	126	0.172431424	0.498957835	0	0	0	0	0	0	0	0	0	0	3
62	128	0.176340411	0.507137471	0	0	0	0	0	0	0	0	0	0	3
63	130	0.180219136	0.515317108	0	0	0	0	0	0	0	0	0	0	3
64	132	0.18367959	0.523496744	0	0	0	0	0	0	0	0	0	0	3
65	134	0.18676813	0.531676381	0	0	0	0	0	0	0	0	0	0	3
66	135	0.190515721	0.539856018	0	0	0	0	0	0	0	0	0	0	3
67	137	0.194209665	0.548035654	0	0	0	0	0	0	0	0	0	0	3
68	139	0.197824121	0.556215291	0	0	0	0	0	0	0	0	0	0	3
69	141	0.201370311	0.564394928	0	0	0	0	0	0	0	0	0	0	3
70	143	0.204862666	0.572574564	0	0	0	0	0	0	0	0	0	0	3
71	144	0.208489245	0.580754201	0	0	0	0	0	0	0	0	0	0	3
72	146	0.212008649	0.588933837	0	0	0	0	0	0	0	0	0	0	3
73	148	0.215851624	0.597113474	0	0	0	0	0	0	0	0	0	0	3
74	150	0.219290809	0.605293111	0	0	0	0	0	0	0	0	0	0	3
75	152	0.223067096	0.613472747	0	0	0	0	0	0	0	0	0	0	3
76	153	0.226821989	0.621652384	0	0	0	0	0	0	0	0	0	0	3
77	155	0.230547802	0.629832021	0	0	0	0	0	0	0	0	0	0	3
78	157	0.233840574	0.638011657	0	0	0	0	0	0	0	0	0	0	3
79	159	0.23748547	0.646191294	0	0	0	0	0	0	0	0	0	0	3
80	160	0.241335228	0.654370931	0	0	0	0	0	0	0	0	0	0	3
81	162	0.244287886	0.662550567	0	0	0	0	0	0	0	0	0	0	3
82	164	0.248139202	0.670730204	0	0	0	0	0	0	0	0	0	0	3
83	166	0.251714054	0.67890984	0	0	0	0	0	0	0	0	0	0	3
84	168	0.255723687	0.687089477	0	0	0	0	0	0	0	0	0	0	3
85	170	0.259110105	0.695269114	0	0	0	0	0	0	0	0	0	0	3
86	171	0.262461801	0.70344875	0	0	0	0	0	0	0	0	0	0	3
87	173	0.265734663	0.711628387	0	0	0	0	0	0	0	0	0	0	3
88	175	0.269563771	0.719808024	0	0	0	0	0	0	0	0	0	0	3
89	176	0.273045591	0.72798766	0	0	0	0	0	0	0	0	0	0	3
90	178	0.276594914	0.736167297	0	0	0	0	0	0	0	0	0	0	3
91	180	0.280015371	0.744346933	0	0	0	0	0	0	0	0	0	0	3
92	181	0.283500064	0.75252657	0	0	0	0	0	0	0	0	0	0	3
93	183	0.286661217	0.760706207	0	0	0	0	0	0	0	0	0	0	3
94	185	0.290200033	0.768885843	0	0	0	0	0	0	0	0	0	0	3
95	186	0.29383373	0.77706548	0	0	0	0	0	0	0	0	0	0	3
96	188	0.297252246	0.785245117	0	0	0	0	0	0	0	0	0	0	3
97	190	0.30088985	0.793424753	0	0	0	0	0	0	0	0	0	0	3
98	192	0.304519756	0.80160439	0	0	0	0	0	0	0	0	0	0	3
99	193	0.307873072	0.809784027	0	0	0	0	0	0	0	0	0	0	3
100	195	0.311990966	0.817963663	0	0	0	0	0	0	0	0	0	0	3
101	213	0.31555314	0.8261433	0	0	0	0	0	0	0	0	0	0	3
102	215	0.319378999	0.834322936	0	0	0	0	0	0	0	0	0	0	3
103	216	0.322508089	0.842502573	0	0	0	0	0	0	0	0	0	0	3
104	218	0.325895129	0.85068221	0	0	0	0	0	0	0	0	0	0	3
105	220	0.329458081	0.858861846	0	0	0	0	0	0	0	0	0	0	3
106	221	0.333358021	0.867041483	0	0	0	0	0	0	0	0	0	0	3
107	223	0.33661452	0.87522112	0	0	0	0	0	0	0	0	0	0	3
108	225	0.340443258	0.883400756	0	0	0	0	0	0	0	0	0	0	3
109	226	0.344000337	0.891580393	0	0	0	0	0	0	0	0	0	0	3
110	228	0.347181137	0.899760029	0	0	0	0	0	0	0	0	0	0	3
111	230	0.350515304	0.907939666	0	0	0	0	0	0	0	0	0	0	3
112	231	0.353846367	0.916119303	0	0	0	0	0	0	0	0	0	0	3
113	233	0.357536333	0.924298939	0	0	0	0	0	0	0	0	0	0	3
114	235	0.361314065	0.932478576	0	0	0	0	0	0	0	0	0	0	3
115	236	0.364925535	0.940658213	0	0	0	0	0	0	0	0	0	0	3
116	238	0.36837373	0.948837849	0	0	0	0	0	0	0	0	0	0	3
117	240	0.371300071	0.957017486	0	0	0	0	0	0	0	0	0	0	3
118	241	0.374807094	0.965197123	0	0	0	0	0	0	0	0	0	0	3
119	243	0.377977201	0.973376759	0	0	0	0	0	0	0	0	0	0	3
120	245	0.381932526	0.981556396	0	0	0	0	0	0	0	0	0	0	3
121	247	0.385280368	0.989736032	0	0	0	0	0	0	0	0	0	0	3
122	248	0.389073867	0.997915669	0	0	0	0	0	0	0	0	0	0	3
123	250	0.392025716	1.00609531	0	0	0	0	0	1e-08	0	0	0	0	3
124	252	0.395841836	1.01427494	0	0	0	0	0	1e-08	0	0	0	0	3
125	253	0.399396118	1.02245458	0	0	0	0	0	1e-08	0	0	0	0	3
126	255	0.403038252	1.03063422	0	0	0	0	0	1e-08	0	0	0	0	3
127	257	0.406656395	1.03881385	0	0	0	0	0	1e-08	0	0	0	0	3
128	258	0.410360492	1.04699349	0	0	0	0	0	1e-08	0	0	0	0	3
129	261	0.413736283	1.05517313	0	0	0	0	0	1e-08	0	0	0	0	3
130	262	0.417644158	1.06335276	0	0	0	0	0	1e-08	0	0	0	0	3
131	264	0.421252694	1.0715324	0	0	0	0	0	1e-08	0	0	0	0	3
132	266	0.42511988	1.07971204	0	0	0	0	0	1e-08	0	0	0	0	3
133	268	0.428768493	1.08789167	0	0	0	0	0	1e-08	0	0	0	0	3
134	269	0.432300808	1.09607131	0	0	0	0	0	1e-08	0	0	0	0	3
135	271	0.43618608	1.10425095	0	0	0	0	0	1e-08	0	0	0	0	3
136	273	0.439515647	1.11243058	0	0	0	0	0	1e-08	0	0	0	0	3
137	274	0.442823138	1.12061022	0	0	0	0	0	1e-08	0	0	0	0	3
138	276	0.44643131	1.12878986	0	0	0	0	0	1e-08	0	0	0	0	3
139	278	0.449935237	1.13696949	0	0	0	0	0	1e-08	0	0	0	0	3
140	280	0.453724359	1.14514913	0	0	0	0	0	1e-08	0	0	0	0	3
141	282	0.457498648	1.15332877	0	0	0	0	0	1e-08	0	0	0	0	3
142	284	0.460958308	1.1615084	0	0	0	0	0	1e-08	0	0	0	0	3
143	286	0.464644516	1.16968804	0	0	0	0	0	1e-08	0	0	0	0	3
144	287	0.468559786	1.17786767	0	0	0	0	0	1e-08	0	0	0	0	3
145	289	0.472297804	1.18604731	0	0	0	0	0	1e-08	0	0	0	0	3
146	291	0.475823268	1.19422695	0	0	0	0	0	1e-08	0	0	0	0	3
147	293	0.479102144	1.20240658	0	0	0	0	0	1e-08	0	0	0	0	3
148	295	0.482838371	1.21058622	0	0	0	0	0	1e-08	0	0	0	0	3
149	297	0.485959365	1.21876586	0	0	0	0	0	1e-08	0	0	0	0	3
150	299	0.489442049	1.22694549	0	0	0	0	0	1e-08	0	0	0	0	3
151	300	0.493127949	1.23512513	0	0	0	0	0	1e-08	0	0	0	0	3
152	302	0.496053771	1.24330477	0	0	0	0	0	1e-08	0	0	0	0	3
153	304	0.499941349	1.2514844	0	0	0	0	0	1e-08	0	0	0	0	3
154	305	0.503486645	1.25966404	0	0	0	0	0	1e-08	0	0	0	0	3
155	307	0.507449086	1.26784368	0	0	0	0	0	1e-08	0	0	0	0	3
156	309	0.511117061	1.27602331	0	0	0	0	0	1e-08	0	0	0	0	3
157	310	0.514947008	1.28420295	0	0	0	0	0	1e-08	0	0	0	0	3
158	312	0.518332012	1.29238259	0	0	0	0	0	1e-08	0	0	0	0	3
159	314	0.521931848	1.30056222	0	0	0	0	0	1e-08	0	0	0	0	3
160	315	0.525466511	1.30874186	0	0	0	0	0	1e-08	0	0	0	0	3
161	317	0.528894438	1.3169215	0	0	0	0	0	1e-08	0	0	0	0	3
162	319	0.532225508	1.32510113	0	0	0	0	0	1e-08	0	0	0	0	3
163	321	0.535848399	1.33328077	0	0	0	0	0	1e-08	0	0	0	0	3
164	323	0.539145894	1.34146041	0	0	0	0	0	1e-08	0	0	0	0	3
165	325	0.542209258	1.34964004	0	0	0	0	0	1e-08	0	0	0	0	3
166	326	0.545703137	1.35781968	0	0	0	0	0	1e-08	0	0	0	0	3
167	328	0.549442014	1.36599932	0	0	0	0	0	1e-08	0	0	0	0	3
168	330	0.552844929	1.37417895	0	0	0	0	0	1e-08	0	0	0	0	3
169	332	0.556460497	1.38235859	0	0	0	0	0	1e-08	0	0	0	0	3
170	334	0.559888163	1.39053823	0	0	0	0	0	1e-08	0	0	0	0	3
171	335	0.563600926	1.39871786	0	0	0	0	0	1e-08	0	0	0	0	3
172	337	0.567190311	1.4068975	0	0	0	0	0	1e-08	0	0	0	0	3
173	339	0.570883938	1.41507714	0	0	0	0	0	1e-08	0	0	0	0	3
174	341	0.574695782	1.42325677	0	0	0	0	0	1e-08	0	0	0	0	3
175	342	0.578189751	1.43143641	0	0	0	0	0	1e-08	0	0	0	0	3
176	344	0.581273465	1.43961605	0	0	0	0	0	1e-08	0	0	0	0	3
177	346	0.585371309	1.44779568	0	0	0	0	0	1e-08	0	0	0	0	3
178	348	0.589100071	1.45597532	0	0	0	0	0	1e-08	0	0	0	0	3
179	349	0.592428221	1.46415496	0	0	0	0	0	1e-08	0	0	0	0	3
180	351	0.595990794	1.47233459	0	0	0	0	0	1e-08	0	0	0	0	3
181	353	0.599688502	1.48051423	0	0	0	0	0	1e-08	0	0	0	0	3
182	354	0.603300956	1.48869387	0	0	0	0	0	1e-08	0	0	0	0	3
183	356	0.60664924	1.4968735	0	0	0	0	0	1e-08	0	0	0	0	3
184	358	0.609968684	1.50505314	0	0	0	0	0	1e-08	0	0	0	0	3
185	360	0.613708138	1.51323278	0	0	0	0	0	1e-08	0	0	0	0	3
186	362	0.617398362	1.52141241	0	0	0	0	0	1e-08	0	0	0	0	3
187	364	0.620811294	1.52959205	0	0	0	0	0	1e-08	0	0	0	0	3
188	365	0.624497346	1.53777169	0	0	0	0	0	1e-08	0	0	0	0	3
189	367	0.628229415	1.54595132	0	0	0	0	0	1e-08	0	0	0	0	3
190	369	0.631755218	1.55413096	0	0	0	0	0	1e-08	0	0	0	0	3
191	371	0.63551186	1.5623106	0	0	0	0	0	1e-08	0	0	0	0	3
192	373	0.639316797	1.57049023	0	0	0	0	0	1e-08	0	0	0	0	3
193	374	0.642859624	1.57866987	0	0	0	0	0	1e-08	0	0	0	0	3
194	376	0.646345235	1.58684951	0	0	0	0	0	1e-08	0	0	0	0	3
195	378	0.650079592	1.59502914	0	0	0	0	0	1e-08	0	0	0	0	3
196	380	0.652694886	1.60320878	0	0	0	0	0	1e-08	0	0	0	0	3
197	382	0.656361473	1.61138842	0	0	0	0	0	1e-08	0	0	0	0	3
198	383	0.660119523	1.61956805	0	0	0	0	0	1e-08	0	0	0	0	3
199	385	0.664175282	1.62774769	0	0	0	0	0	1e-08	0	0	0	0	3
200	387	0.667923262	1.63592733	0	0	0	0	0	1e-08	0	0	0	0	3
201	405	0.671126844	1.64410696	0	0	0	0	0	1e-08	0	0	0	0	3
202	406	0.674593014	1.6522866	0	0	0	0	0	1e-08	0	0	0	0	3
203	408	0.678375098	1.66046624	0	0	0	0	0	1e-08	0	0	0	0	3
204	410	0.682008868	1.66864587	0	0	0	0	0	1e-08	0	0	0	0	3
205	412	0.685428676	1.67682551	0	0	0	0	0	1e-08	0	0	0	0	3
206	414	0.688797021	1.68500515	0	0	0	0	0	1e-08	0	0	0	0	3
207	415	0.692442214	1.69318478	0	0	0	0	0	1e-08	0	0	0	0	3
208	417	0.695898449	1.70136442	0	0	0	0	0	1e-08	0	0	0	0	3
209	419	0.699541078	1.70954406	0	0	0	0	0	1e-08	0	0	0	0	3
210	421	0.703106553	1.71772369	0	0	0	0	0	1e-08	0	0	0	0	3
211	423	0.706465196	1.72590333	0	0	0	0	0	1e-08	0	0	0	0	3
212	424	0.710051465	1.73408297	0	0	0	0	0	1e-08	0	0	0	0	3
213	426	0.713540384	1.7422626	0	0	0	0	0	1e-08	0	0	0	0	3
214	428	0.717241332	1.75044224	0	0	0	0	0	1e-08	0	0	0	0	3
215	430	0.720957016	1.75862188	0	0	0	0	0	1e-08	0	0	0	0	3
