Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0.00223819572	0.00817963663	293.200002	293.200002	293.200002	293.200002	0	0	0	0	0	0	3
2	14	0.00258031351	0.0163592733	293.200065	293.20001	293.200002	293.200065	8.31316953e-06	0	0	0	0	0	3
3	17	0.00302177552	0.0245389099	293.20002	293.200012	293.200002	293.200065	9.76793268e-06	0	0	0	0	0	3
4	19	0.00355342751	0.0327185465	293.200013	293.200012	293.200002	293.200065	9.90731365e-06	0	0	0	0	0	3
5	21	0.00410922047	0.0408981832	293.200012	293.200012	293.200002	293.200065	9.90731365e-06	0	0	0	0	0	3
6	23	0.00516516245	0.0490778198	293.200014	293.200012	293.200002	293.200065	1.02451489e-05	0	0	0	0	0	3
7	25	0.00636679793	0.0572574564	293.200014	293.200013	293.200002	293.200065	1.05557443e-05	0	0	0	0	0	3
8	27	0.00759524009	0.0654370931	293.200014	293.200013	293.200002	293.200065	1.0834841e-05	0	0	0	0	0	3
9	29	0.00878362715	0.0736167297	293.200014	293.200013	293.200002	293.200065	1.10179309e-05	0	0	0	0	0	3
10	32	0.0099800313	0.0817963663	293.200014	293.200013	293.200002	293.200065	1.11627313e-05	0	0	0	0	0	3
11	33	0.0117337301	0.0899760029	293.200015	293.200013	293.200002	293.200065	1.14196816e-05	0	0	0	0	0	3
12	35	0.0133232266	0.0981556396	293.200015	293.200014	293.200002	293.200065	1.16620816e-05	0	0	0	0	0	3
13	37	0.0149195508	0.106335276	293.200016	293.200014	293.200002	293.200065	1.18959177e-05	0	0	0	0	0	3
14	39	0.0164399119	0.114514913	293.200016	293.200014	293.200002	293.200065	1.21255571e-05	0	0	0	0	0	3
15	41	0.0179447415	0.122694549	293.200017	293.200014	293.200002	293.200065	1.23501756e-05	0	0	0	0	0	3
16	43	0.0200806789	0.130874186	293.200017	293.200015	293.200002	293.200065	1.26620852e-05	0	0	0	0	0	3
17	45	0.022015457	0.139053823	293.200018	293.200015	293.200002	293.200065	1.29438246e-05	0	0	0	0	0	3
18	47	0.0238804564	0.147233459	293.200018	293.200015	293.200002	293.200065	1.32067608e-05	0	0	0	0	0	3
19	49	0.025715145	0.155413096	293.200019	293.200015	293.200002	293.200065	1.34680358e-05	0	0	0	0	0	3
20	51	0.0275240418	0.163592733	293.200019	293.200016	293.200002	293.200065	1.37081838e-05	0	0	0	0	0	3
21	53	0.0302155906	0.171772369	293.20002	293.200016	293.200002	293.200065	1.40470072e-05	0	0	0	0	0	3
22	54	0.0327672172	0.179952006	293.20002	293.200016	293.200002	293.200065	1.43549023e-05	0	0	0	0	0	3
23	56	0.0352126386	0.188131643	293.200021	293.200017	293.200002	293.200065	1.46458564e-05	0	0	0	0	0	3
24	58	0.0375676136	0.196311279	293.200021	293.200017	293.200002	293.200065	1.48980582e-05	0	0	0	0	0	3
25	60	0.0398508581	0.204490916	293.200021	293.200017	293.200002	293.200065	1.51357711e-05	0	0	0	0	0	3
26	61	0.0431272339	0.212670552	293.200022	293.200017	293.200002	293.200065	1.54717476e-05	0	0	0	0	0	3
27	63	0.046372255	0.220850189	293.200022	293.200018	293.200002	293.200065	1.57732066e-05	0	0	0	0	0	3
28	65	0.0496215519	0.229029826	293.200022	293.200018	293.200002	293.200065	1.6051057e-05	0	0	0	0	0	3
29	67	0.0528183781	0.237209462	293.200023	293.200018	293.200002	293.200065	1.63358799e-05	0	0	0	0	0	3
30	69	0.0559385099	0.245389099	293.200023	293.200019	293.200002	293.200065	1.65960643e-05	0	0	0	0	0	3
31	70	0.0601505424	0.253568736	293.200023	293.200019	293.200002	293.200065	1.69216355e-05	0	0	0	0	0	3
32	72	0.0641508985	0.261748372	293.200024	293.200019	293.200002	293.200065	1.72429845e-05	0	0	0	0	0	3
33	74	0.0679642974	0.269928009	293.200024	293.20002	293.200002	293.200065	1.75264558e-05	0	0	0	0	0	3
34	76	0.0719915976	0.278107645	293.200025	293.20002	293.200002	293.200065	1.78386945e-05	0	0	0	0	0	3
35	78	0.0762461217	0.286287282	293.200025	293.20002	293.200002	293.200065	1.81384416e-05	0	0	0	0	0	3
36	80	0.0801654715	0.294466919	293.200026	293.20002	293.200002	293.200065	1.84156527e-05	0	0	0	0	0	3
37	82	0.0841199933	0.302646555	293.200027	293.200021	293.200002	293.200065	1.87054923e-05	0	0	0	0	0	3
38	84	0.0878636834	0.310826192	293.200026	293.200021	293.200002	293.200065	1.8943452e-05	0	0	0	0	0	3
39	86	0.0917444865	0.319005829	293.200027	293.200021	293.200002	293.200065	1.92015931e-05	0	0	0	0	0	3
40	87	0.0954826624	0.327185465	293.200027	293.200021	293.200002	293.200065	1.9428704e-05	0	0	0	0	0	3
41	90	0.0993599312	0.335365102	293.200027	293.200022	293.200002	293.200065	1.96443349e-05	0	0	0	0	0	3
42	92	0.103332995	0.343544739	293.200028	293.200022	293.200002	293.200065	1.98743645e-05	0	0	0	0	0	3
43	93	0.107158291	0.351724375	293.200028	293.200022	293.200002	293.200065	2.00956446e-05	0	0	0	0	0	3
44	95	0.110923427	0.359904012	293.200028	293.200022	293.200002	293.200065	2.03081264e-05	0	0	0	0	0	3
45	97	0.115252517	0.368083648	293.200029	293.200023	293.200002	293.200065	2.05514982e-05	0	0	0	0	0	3
46	99	0.118813492	0.376263285	293.200029	293.200023	293.200002	293.200065	2.0740761e-05	0	0	0	0	0	3
47	100	0.122805632	0.384442922	293.200029	293.200023	293.200002	293.200065	2.09587192e-05	0	0	0	0	0	3
48	102	0.126032767	0.392622558	293.20003	293.200023	293.200002	293.200065	2.11268932e-05	0	0	0	0	0	3
49	104	0.129827582	0.400802195	293.20003	293.200023	293.200002	293.200065	2.13308336e-05	0	0	0	0	0	3
50	106	0.133369001	0.408981832	293.200031	293.200024	293.200002	293.200065	2.152437e-05	0	0	0	0	0	3
51	108	0.137071417	0.417161468	293.20003	293.200024	293.200002	293.200065	2.17089577e-05	0	0	0	0	0	3
52	109	0.14078467	0.425341105	293.200031	293.200024	293.200002	293.200065	2.19090749e-05	0	0	0	0	0	3
53	111	0.144756092	0.433520741	293.200032	293.200024	293.200002	293.200065	2.21194467e-05	0	0	0	0	0	3
54	113	0.148473049	0.441700378	293.200031	293.200024	293.200002	293.200065	2.23030118e-05	0	0	0	0	0	3
55	115	0.15214298	0.449880015	293.200032	293.200025	293.200002	293.200065	2.24939459e-05	0	0	0	0	0	3
56	117	0.155638806	0.458059651	293.200033	293.200025	293.200002	293.200065	2.26759494e-05	0	0	0	0	0	3
57	119	0.15873993	0.466239288	293.200033	293.200025	293.200002	293.200065	2.28355854e-05	0	0	0	0	0	3
58	121	0.162108991	0.474418925	293.200034	293.200025	293.200002	293.200065	2.30177254e-05	0	0	0	0	0	3
59	123	0.165596977	0.482598561	293.200033	293.200025	293.200002	293.200065	2.31939011e-05	0	0	0	0	0	3
60	124	0.169249515	0.490778198	293.200034	293.200025	293.200002	293.200065	2.33743125e-05	0	0	0	0	0	3
61	126	0.172431424	0.498957835	293.200034	293.200026	293.200002	293.200065	2.35355698e-05	0	0	0	0	0	3
62	128	0.176340411	0.507137471	293.200034	293.200026	293.200002	293.200065	2.37236555e-05	0	0	0	0	0	3
63	130	0.180219136	0.515317108	293.200035	293.200026	293.200012	293.200065	1.59066311e-05	0	0	0	0	0	3
64	132	0.18367959	0.523496744	293.200035	293.200026	293.200012	293.200035	1.45507126e-05	0	0	0	0	0	3
65	134	0.18676813	0.531676381	293.200035	293.200026	293.200012	293.200035	1.45976722e-05	0	0	0	0	0	3
66	135	0.190515721	0.539856018	293.200036	293.200027	293.200012	293.200036	1.4828189e-05	0	0	0	0	0	3
67	137	0.194209665	0.548035654	293.200036	293.200027	293.200014	293.200036	1.47013628e-05	0	0	0	0	0	3
68	139	0.197824121	0.556215291	293.200037	293.200027	293.200014	293.200037	1.46491159e-05	0	0	0	0	0	3
69	141	0.201370311	0.564394928	293.200037	293.200027	293.200014	293.200037	1.4630978e-05	0	0	0	0	0	3
70	143	0.204862666	0.572574564	293.200037	293.200028	293.200014	293.200037	1.47039772e-05	0	0	0	0	0	3
71	144	0.208489245	0.580754201	293.200038	293.200028	293.200014	293.200038	1.48227856e-05	0	0	0	0	0	3
72	146	0.212008649	0.588933837	293.200038	293.200028	293.200015	293.200038	1.482135e-05	0	0	0	0	0	3
73	148	0.215851624	0.597113474	293.200038	293.200029	293.200015	293.200038	1.4870494e-05	0	0	0	0	0	3
74	150	0.219290809	0.605293111	293.200039	293.200029	293.200016	293.200039	1.49085458e-05	0	0	0	0	0	3
75	152	0.223067096	0.613472747	293.200039	293.200029	293.200016	293.200039	1.49636281e-05	0	0	0	0	0	3
76	153	0.226821989	0.621652384	293.200039	293.200029	293.200017	293.200039	1.50047563e-05	0	0	0	0	0	3
77	155	0.230547802	0.629832021	293.20004	293.20003	293.200017	293.20004	1.49663152e-05	0	0	0	0	0	3
78	157	0.233840574	0.638011657	293.20004	293.20003	293.200018	293.20004	1.49672033e-05	0	0	0	0	0	3
79	159	0.23748547	0.646191294	293.20004	293.20003	293.200018	293.20004	1.49894456e-05	0	0	0	0	0	3
80	160	0.241335228	0.654370931	293.200041	293.200031	293.200019	293.200041	1.5021356e-05	0	0	0	0	0	3
81	162	0.244287886	0.662550567	293.200041	293.200031	293.200019	293.200041	1.5020492e-05	0	0	0	0	0	3
82	164	0.248139202	0.670730204	293.200041	293.200031	293.20002	293.200041	1.49642755e-05	0	0	0	0	0	3
83	166	0.251714054	0.67890984	293.200042	293.200031	293.20002	293.200042	1.4968126e-05	0	0	0	0	0	3
84	168	0.255723687	0.687089477	293.200041	293.200032	293.200021	293.200042	1.49881439e-05	0	0	0	0	0	3
85	170	0.259110105	0.695269114	293.200042	293.200032	293.200021	293.200042	1.50211763e-05	0	0	0	0	0	3
86	171	0.262461801	0.70344875	293.200043	293.200032	293.200021	293.200043	1.50621662e-05	0	0	0	0	0	3
87	173	0.265734663	0.711628387	293.200043	293.200032	293.200022	293.200043	1.49887849e-05	0	0	0	0	0	3
88	175	0.269563771	0.719808024	293.200043	293.200033	293.200022	293.200043	1.5025489e-05	0	0	0	0	0	3
89	176	0.273045591	0.72798766	293.200043	293.200033	293.200022	293.200043	1.5067722e-05	0	0	0	0	0	3
90	178	0.276594914	0.736167297	293.200044	293.200033	293.200023	293.200044	1.51075208e-05	0	0	0	0	0	3
91	180	0.280015371	0.744346933	293.200044	293.200034	293.200023	293.200044	1.5158801e-05	0	0	0	0	0	3
92	181	0.283500064	0.75252657	293.200044	293.200034	293.200023	293.200044	1.51384387e-05	0	0	0	0	0	3
93	183	0.286661217	0.760706207	293.200045	293.200034	293.200024	293.200045	1.51682013e-05	0	0	0	0	0	3
94	185	0.290200033	0.768885843	293.200045	293.200035	293.200024	293.200045	1.52345622e-05	0	0	0	0	0	3
95	186	0.29383373	0.77706548	293.200045	293.200035	293.200025	293.200045	1.52579878e-05	0	0	0	0	0	3
96	188	0.297252246	0.785245117	293.200046	293.200035	293.200025	293.200046	1.5294813e-05	0	0	0	0	0	3
97	190	0.30088985	0.793424753	293.200046	293.200036	293.200026	293.200046	1.53798276e-05	0	0	0	0	0	3
98	192	0.304519756	0.80160439	293.200046	293.200036	293.200026	293.200046	1.54243069e-05	0	0	0	0	0	3
99	193	0.307873072	0.809784027	293.200046	293.200036	293.200026	293.200046	1.55100801e-05	0	0	0	0	0	3
100	195	0.311990966	0.817963663	293.200047	293.200037	293.200027	293.200047	1.5610862e-05	0	0	0	0	0	3
101	213	0.31555314	0.8261433	293.200046	293.200037	293.200027	293.200047	1.57054163e-05	0	0	0	0	0	3
102	215	0.319378999	0.834322936	293.200047	293.200037	293.200027	293.200047	1.58338401e-05	0	0	0	0	0	3
103	216	0.322508089	0.842502573	293.200048	293.200038	293.200028	293.200048	1.59280552e-05	0	0	0	0	0	3
104	218	0.325895129	0.85068221	293.200048	293.200038	293.200028	293.200048	1.60408364e-05	0	0	0	0	0	3
105	220	0.329458081	0.858861846	293.200048	293.200038	293.200028	293.200048	1.61622434e-05	0	0	0	0	0	3
106	221	0.333358021	0.867041483	293.200048	293.200039	293.200029	293.200048	1.62560758e-05	0	0	0	0	0	3
107	223	0.33661452	0.87522112	293.200049	293.200039	293.200029	293.200049	1.64101083e-05	0	0	0	0	0	3
108	225	0.340443258	0.883400756	293.200049	293.20004	293.200029	293.200049	1.65316924e-05	0	0	0	0	0	3
109	226	0.344000337	0.891580393	293.200049	293.20004	293.20003	293.200049	1.66975603e-05	0	0	0	0	0	3
110	228	0.347181137	0.899760029	293.20005	293.20004	293.20003	293.20005	1.67886107e-05	0	0	0	0	0	3
111	230	0.350515304	0.907939666	293.20005	293.20004	293.20003	293.20005	1.69201188e-05	0	0	0	0	0	3
112	231	0.353846367	0.916119303	293.20005	293.200041	293.20003	293.20005	1.70433328e-05	0	0	0	0	0	3
113	233	0.357536333	0.924298939	293.200051	293.200041	293.200031	293.200051	1.71813684e-05	0	0	0	0	0	3
114	235	0.361314065	0.932478576	293.200051	293.200041	293.200031	293.200051	1.7300092e-05	0	0	0	0	0	3
115	236	0.364925535	0.940658213	293.200051	293.200042	293.200031	293.200051	1.74527583e-05	0	0	0	0	0	3
116	238	0.36837373	0.948837849	293.200051	293.200042	293.200032	293.200051	1.75874588e-05	0	0	0	0	0	3
117	240	0.371300071	0.957017486	293.200051	293.200042	293.200033	293.200051	1.76901269e-05	0	0	0	0	0	3
118	241	0.374807094	0.965197123	293.200051	293.200043	293.200033	293.200051	1.78302238e-05	0	0	0	0	0	3
119	243	0.377977201	0.973376759	293.200052	293.200043	293.200033	293.200052	1.7921891e-05	0	0	0	0	0	3
120	245	0.381932526	0.981556396	293.200052	293.200043	293.200033	293.200052	1.8047366e-05	0	0	0	0	0	3
121	247	0.385280368	0.989736032	293.200053	293.200044	293.200034	293.200053	1.8164404e-05	0	0	0	0	0	3
122	248	0.389073867	0.997915669	293.200053	293.200044	293.200034	293.200053	1.83294081e-05	0	0	0	0	0	3
123	250	0.392025716	1.00609531	293.200053	293.200044	293.200034	293.200053	1.840449e-05	2.93200053e-06	0	0	0	0	3
124	252	0.395841836	1.01427494	293.200053	293.200044	293.200035	293.200053	1.82492086e-05	2.93200053e-06	0	0	0	0	3
125	253	0.399396118	1.02245458	293.200054	293.200045	293.200035	293.200054	1.84731169e-05	2.93200054e-06	0	0	0	0	3
126	255	0.403038252	1.03063422	293.200054	293.200045	293.200035	293.200054	1.86065262e-05	2.93200054e-06	0	0	0	0	3
127	257	0.406656395	1.03881385	293.200054	293.200045	293.200036	293.200054	1.80834077e-05	2.93200054e-06	0	0	0	0	3
128	258	0.410360492	1.04699349	293.200054	293.200046	293.200036	293.200054	1.76411475e-05	2.93200054e-06	0	0	0	0	3
129	261	0.413736283	1.05517313	293.200054	293.200046	293.200037	293.200054	1.74753467e-05	2.93200054e-06	0	0	0	0	3
130	262	0.417644158	1.06335276	293.200055	293.200046	293.200037	293.200055	1.76786149e-05	2.93200055e-06	0	0	0	0	3
131	264	0.421252694	1.0715324	293.200055	293.200047	293.200037	293.200055	1.75676184e-05	2.93200055e-06	0	0	0	0	3
132	266	0.42511988	1.07971204	293.200055	293.200047	293.200038	293.200055	1.74623184e-05	2.93200055e-06	0	0	0	0	3
133	268	0.428768493	1.08789167	293.200056	293.200047	293.200038	293.200056	1.79084817e-05	2.93200056e-06	0	0	0	0	3
134	269	0.432300808	1.09607131	293.200055	293.200047	293.200038	293.200056	1.79084817e-05	2.93200055e-06	0	0	0	0	3
135	271	0.43618608	1.10425095	293.200056	293.200048	293.200039	293.200056	1.72491332e-05	2.93200056e-06	0	0	0	0	3
136	273	0.439515647	1.11243058	293.200056	293.200048	293.200039	293.200056	1.71866496e-05	2.93200056e-06	0	0	0	0	3
137	274	0.442823138	1.12061022	293.200056	293.200048	293.200039	293.200056	1.74661845e-05	2.93200056e-06	0	0	0	0	3
138	276	0.44643131	1.12878986	293.200057	293.200049	293.20004	293.200057	1.70591347e-05	2.93200057e-06	0	0	0	0	3
139	278	0.449935237	1.13696949	293.200056	293.200049	293.20004	293.200057	1.69820442e-05	2.93200056e-06	0	0	0	0	3
140	280	0.453724359	1.14514913	293.200057	293.200049	293.20004	293.200057	1.6572762e-05	2.93200057e-06	0	0	0	0	3
141	282	0.457498648	1.15332877	293.200057	293.200049	293.200041	293.200057	1.63146014e-05	2.93200057e-06	0	0	0	0	3
142	284	0.460958308	1.1615084	293.200057	293.20005	293.200041	293.200057	1.64355826e-05	2.93200057e-06	0	0	0	0	3
143	286	0.464644516	1.16968804	293.200058	293.20005	293.200041	293.200058	1.63638309e-05	2.93200058e-06	0	0	0	0	3
144	287	0.468559786	1.17786767	293.200058	293.20005	293.200041	293.200058	1.67705527e-05	2.93200058e-06	0	0	0	0	3
145	289	0.472297804	1.18604731	293.200058	293.200051	293.200041	293.200058	1.67705527e-05	2.93200058e-06	0	0	0	0	3
146	291	0.475823268	1.19422695	293.200059	293.200051	293.200042	293.200059	1.62132516e-05	2.93200059e-06	0	0	0	0	3
147	293	0.479102144	1.20240658	293.200059	293.200051	293.200043	293.200059	1.62029546e-05	2.93200059e-06	0	0	0	0	3
148	295	0.482838371	1.21058622	293.200059	293.200051	293.200043	293.200059	1.62029546e-05	2.93200059e-06	0	0	0	0	3
149	297	0.485959365	1.21876586	293.200059	293.200052	293.200043	293.200059	1.61207674e-05	2.93200059e-06	0	0	0	0	3
150	299	0.489442049	1.22694549	293.200059	293.200052	293.200043	293.200059	1.58831015e-05	2.93200059e-06	0	0	0	0	3
151	300	0.493127949	1.23512513	293.200059	293.200052	293.200044	293.200059	1.55950161e-05	2.93200059e-06	0	0	0	0	3
152	302	0.496053771	1.24330477	293.20006	293.200052	293.200044	293.20006	1.62187034e-05	2.9320006e-06	0	0	0	0	3
153	304	0.499941349	1.2514844	293.20006	293.200053	293.200044	293.20006	1.62187034e-05	2.9320006e-06	0	0	0	0	3
154	305	0.503486645	1.25966404	293.20006	293.200053	293.200045	293.20006	1.5633086e-05	2.9320006e-06	0	0	0	0	3
155	307	0.507449086	1.26784368	293.200061	293.200053	293.200045	293.200061	1.59770517e-05	2.93200061e-06	0	0	0	0	3
