Iteration	CPUTime	PhysTime	Travels
1	4	0	0.025
2	4	0	0.05
3	4	0	0.075
4	5	0	0.1
5	5	0	0.125
6	5	0	0.15
7	5	0	0.175
8	6	0	0.2
9	6	0	0.225
10	6	0	0.25
11	6	0	0.275
12	7	0	0.3
13	7	0	0.325
14	7	0	0.35
15	7	0	0.375
16	8	0	0.4
17	8	0	0.425
18	8	0	0.45
19	8	0	0.475
20	9	0	0.5
21	9	0	0.525
22	9	0	0.55
23	9	0	0.575
24	10	0	0.6
25	10	0	0.625
26	10	0	0.65
27	11	0	0.675
28	11	0	0.7
29	11	0	0.725
30	11	0	0.75
31	12	0	0.775
32	12	0	0.8
33	12	0	0.825
34	12	0	0.85
35	13	0	0.875
36	13	0	0.9
37	13	0	0.925
38	13	0	0.95
39	14	0	0.975
40	14	0	1
