Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.00244404582	0.00535530368	101325	101325	101325	101325	0	0	0	0	0	0	3
2	3	0.00488892113	0.0107106074	101325	101325	101325	101325	0	0	0	0	0	0	3
3	3	0.00733901812	0.016065911	101325	101325	101325	101325	0	0	0	0	0	0	3
4	4	0.00982769622	0.0214212147	101325	101325	101325	101325	0	0	0	0	0	0	3
5	4	0.0126013323	0.0267765184	101325	101325	101325	101325	0	0	0	0	0	0	3
6	4	0.0199185624	0.0321318221	101325	101325	101325	101325	0	0	0	0	0	0	3
7	4	0.0501093871	0.0374871258	101325	101325	101325	101325	0	0	0	0	0	0	3
8	5	0.228642783	0.0428424294	101325	101325	101325	101325	0	0	0	0	0	0	3
9	5	0.951735816	0.0481977331	101325	101325	101325	101325	0	0	0	0	0	0	3
10	5	1	0.0535530368	101325	101325	101325	101325	0	0	0	0	0	0	3
