Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0.00626576075	0.00984767767	-0.127543438	-0.127543438	-0.127543438	-0.127543438	0	0	0	0	0	0	3
2	9	0.00861977012	0.0196953553	-0.0652118039	-0.110521029	-0.127543438	-0.0652118039	0.0170224088	0	0	0	0	0	3
3	10	0.0109806089	0.029543033	-0.037745351	-0.0948742064	-0.127543438	-0.037745351	0.0326692317	0	0	0	0	0	3
4	11	0.0135151584	0.0393907107	-0.044805525	-0.0854846345	-0.127543438	-0.037745351	0.0420588036	0	0	0	0	0	3
5	11	0.01619452	0.0492383884	-0.0544991802	-0.0803581326	-0.127543438	-0.037745351	0.0471853055	0	0	0	0	0	3
6	12	0.0208130979	0.059086066	-0.0325221775	-0.069742986	-0.127543438	-0.0325221775	0.057800452	0	0	0	0	0	3
7	13	0.0263413663	0.0689337437	0.0239220594	-0.0500854822	-0.127543438	0.0239220594	0.0774579559	0	0	0	0	0	3
8	14	0.0321285776	0.0787814214	0.0680564249	-0.0288049827	-0.127543438	0.0680564249	0.0987384553	0	0	0	0	0	3
9	16	0.0364371811	0.0886290991	0.13728397	-0.00916538855	-0.127543438	0.13728397	0.11837805	0	0	0	0	0	3
10	17	0.0383695045	0.0984767767	0.0828812182	-0.00452983726	-0.127543438	0.13728397	0.123013601	0	0	0	0	0	3
11	18	0.0414361573	0.108324454	0.0607219295	0.000299387528	-0.127543438	0.13728397	0.127842826	0	0	0	0	0	3
12	19	0.0448719853	0.118172132	0.104285541	0.00826156109	-0.127543438	0.13728397	0.135804999	0	0	0	0	0	3
13	20	0.0482396593	0.12801981	0.175251952	0.0199193798	-0.127543438	0.175251952	0.147462818	0	0	0	0	0	3
14	21	0.0515489637	0.137867487	0.161550715	0.0290117292	-0.127543438	0.175251952	0.156555167	0	0	0	0	0	3
15	22	0.0552736965	0.147715165	0.164500953	0.038141952	-0.127543438	0.175251952	0.16568539	0	0	0	0	0	3
16	23	0.0618278713	0.157562843	0.165099386	0.0516003033	-0.127543438	0.175251952	0.179143741	0	0	0	0	0	3
17	24	0.0681544893	0.16741052	0.17976406	0.0634974379	-0.127543438	0.17976406	0.191040876	0	0	0	0	0	3
18	25	0.0729432555	0.177258198	0.231095171	0.0745003243	-0.127543438	0.231095171	0.202043762	0	0	0	0	0	3
19	26	0.0784664971	0.187105876	0.198571033	0.0832336376	-0.127543438	0.231095171	0.210777076	0	0	0	0	0	3
20	27	0.0815953546	0.196953553	0.24575595	0.0894657222	-0.127543438	0.24575595	0.21700916	0	0	0	0	0	3
21	28	0.0864528146	0.206801231	0.229602539	0.0973394852	-0.127543438	0.24575595	0.224882923	0	0	0	0	0	3
22	30	0.0900744241	0.216648909	0.278406322	0.104619614	-0.127543438	0.278406322	0.232163052	0	0	0	0	0	3
23	31	0.0959818608	0.226496586	0.308001073	0.117137219	-0.127543438	0.308001073	0.244680657	0	0	0	0	0	3
24	32	0.103597436	0.236344264	0.304517157	0.130911749	-0.127543438	0.308001073	0.258455187	0	0	0	0	0	3
25	33	0.110276698	0.246191942	0.313727178	0.141984553	-0.127543438	0.313727178	0.269527991	0	0	0	0	0	3
26	34	0.120682536	0.25603962	0.221731711	0.148860742	-0.127543438	0.313727178	0.27640418	0	0	0	0	0	3
27	36	0.129048641	0.265887297	0.201246276	0.152256849	-0.127543438	0.313727178	0.279800287	0	0	0	0	0	3
28	37	0.140482747	0.275734975	0.224307377	0.158121152	-0.127543438	0.313727178	0.28566459	0	0	0	0	0	3
29	38	0.150802252	0.285582653	0.224078714	0.162634674	-0.127543438	0.313727178	0.290178112	0	0	0	0	0	3
30	39	0.163593714	0.29543033	0.177711318	0.163813523	-0.127543438	0.313727178	0.291356961	0	0	0	0	0	3
31	40	0.183077274	0.305278008	0.155342254	0.162911989	-0.127543438	0.313727178	0.291356961	0	0	0	0	0	3
32	41	0.19111261	0.315125686	0.127089381	0.161405826	-0.127543438	0.313727178	0.291356961	0	0	0	0	0	3
33	42	0.205327712	0.324973363	0.109867928	0.157837791	-0.127543438	0.313727178	0.291356961	0	0	0	0	0	3
