Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0.00626576075	0.00984767767	0	0	0	0	0	0	0	0	0	0	3
2	9	0.00861977012	0.0196953553	0	0	0	0	0	0	0	0	0	0	3
3	10	0.0109806089	0.029543033	0	0	0	0	0	0	0	0	0	0	3
4	11	0.0135151584	0.0393907107	0	0	0	0	0	0	0	0	0	0	3
5	11	0.01619452	0.0492383884	0	0	0	0	0	0	0	0	0	0	3
6	12	0.0208130979	0.059086066	0	0	0	0	0	0	0	0	0	0	3
7	13	0.0263413663	0.0689337437	0	0	0	0	0	0	0	0	0	0	3
8	14	0.0321285776	0.0787814214	0	0	0	0	0	0	0	0	0	0	3
9	16	0.0364371811	0.0886290991	0	0	0	0	0	0	0	0	0	0	3
10	17	0.0383695045	0.0984767767	0	0	0	0	0	0	0	0	0	0	3
11	18	0.0414361573	0.108324454	0	0	0	0	0	0	0	0	0	0	3
12	19	0.0448719853	0.118172132	0	0	0	0	0	0	0	0	0	0	3
13	20	0.0482396593	0.12801981	0	0	0	0	0	0	0	0	0	0	3
14	21	0.0515489637	0.137867487	0	0	0	0	0	0	0	0	0	0	3
15	22	0.0552736965	0.147715165	0	0	0	0	0	0	0	0	0	0	3
16	23	0.0618278713	0.157562843	0	0	0	0	0	0	0	0	0	0	3
17	24	0.0681544893	0.16741052	0	0	0	0	0	0	0	0	0	0	3
18	25	0.0729432555	0.177258198	0	0	0	0	0	0	0	0	0	0	3
19	26	0.0784664971	0.187105876	0	0	0	0	0	0	0	0	0	0	3
20	27	0.0815953546	0.196953553	0	0	0	0	0	0	0	0	0	0	3
21	28	0.0864528146	0.206801231	0	0	0	0	0	0	0	0	0	0	3
22	30	0.0900744241	0.216648909	0	0	0	0	0	0	0	0	0	0	3
23	31	0.0959818608	0.226496586	0	0	0	0	0	0	0	0	0	0	3
24	32	0.103597436	0.236344264	0	0	0	0	0	0	0	0	0	0	3
25	33	0.110276698	0.246191942	0	0	0	0	0	0	0	0	0	0	3
26	34	0.120682536	0.25603962	0	0	0	0	0	0	0	0	0	0	3
27	36	0.129048641	0.265887297	0	0	0	0	0	0	0	0	0	0	3
28	37	0.140482747	0.275734975	0	0	0	0	0	0	0	0	0	0	3
29	38	0.150802252	0.285582653	0	0	0	0	0	0	0	0	0	0	3
30	39	0.163593714	0.29543033	0	0	0	0	0	0	0	0	0	0	3
31	40	0.183077274	0.305278008	0	0	0	0	0	0	0	0	0	0	3
32	41	0.19111261	0.315125686	0	0	0	0	0	0	0	0	0	0	3
33	42	0.205327712	0.324973363	0	0	0	0	0	0	0	0	0	0	3
34	43	0.218889731	0.334821041	0	0	0	0	0	0	0	0	0	0	3
35	44	0.236620288	0.344668719	0	0	0	0	0	0	0	0	0	0	3
36	45	0.248003719	0.354516396	0	0	0	0	0	0	0	0	0	0	3
37	47	0.258781672	0.364364074	0	0	0	0	0	0	0	0	0	0	3
38	48	0.273687232	0.374211752	0	0	0	0	0	0	0	0	0	0	3
39	48	0.288350079	0.384059429	0	0	0	0	0	0	0	0	0	0	3
40	49	0.303711836	0.393907107	0	0	0	0	0	0	0	0	0	0	3
41	50	0.319940335	0.403754785	0	0	0	0	0	0	0	0	0	0	3
42	52	0.33720546	0.413602462	0	0	0	0	0	0	0	0	0	0	3
43	53	0.3549657	0.42345014	0	0	0	0	0	0	0	0	0	0	3
44	54	0.371860784	0.433297818	0	0	0	0	0	0	0	0	0	0	3
45	55	0.384349468	0.443145495	0	0	0	0	0	0	0	0	0	0	3
46	56	0.391909475	0.452993173	0	0	0	0	0	0	0	0	0	0	3
47	57	0.398627401	0.462840851	0	0	0	0	0	0	0	0	0	0	3
48	59	0.405598712	0.472688528	0	0	0	0	0	0	0	0	0	0	3
49	60	0.413770907	0.482536206	0	0	0	0	0	0	0	0	0	0	3
50	61	0.42533052	0.492383884	0	0	0	0	0	0	0	0	0	0	3
