Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0.00626576075	0.00984767767	101463.587	101463.587	101463.587	101463.587	0	0	0	0	0	0	3
2	9	0.00861977012	0.0196953553	101332.64	101427.826	101332.64	101463.587	35.7607841	0	0	0	0	0	3
3	10	0.0109806089	0.029543033	101360.972	101413.453	101332.64	101463.587	50.1345338	0	0	0	0	0	3
4	11	0.0135151584	0.0393907107	101368.867	101405.091	101332.64	101463.587	58.4957901	0	0	0	0	0	3
5	11	0.01619452	0.0492383884	101360.623	101397.734	101332.64	101463.587	65.8529956	0	0	0	0	0	3
6	12	0.0208130979	0.059086066	101369.022	101391.363	101332.64	101463.587	72.2245124	0	0	0	0	0	3
7	13	0.0263413663	0.0689337437	101371.516	101387.197	101332.64	101463.587	76.3897096	0	0	0	0	0	3
8	14	0.0321285776	0.0787814214	101341.277	101378.926	101332.64	101463.587	84.6611432	0	0	0	0	0	3
9	16	0.0364371811	0.0886290991	101347.612	101375.223	101332.64	101463.587	88.3639383	0	0	0	0	0	3
10	17	0.0383695045	0.0984767767	101349.966	101373.951	101332.64	101463.587	89.6358976	0	0	0	0	0	3
11	18	0.0414361573	0.108324454	101311.679	101369.342	101311.679	101463.587	94.2445677	0	0	0	0	0	3
12	19	0.0448719853	0.118172132	101303.401	101364.293	101303.401	101463.587	99.2937018	0	0	0	0	0	3
13	20	0.0482396593	0.12801981	101362.822	101364.191	101303.401	101463.587	99.3964297	0	0	0	0	0	3
14	21	0.0515489637	0.137867487	101376.352	101364.971	101303.401	101463.587	99.3964297	0	0	0	0	0	3
15	22	0.0552736965	0.147715165	101353.792	101364.218	101303.401	101463.587	99.3964297	0	0	0	0	0	3
16	23	0.0618278713	0.157562843	101329.241	101360.51	101303.401	101463.587	103.076811	0	0	0	0	0	3
17	24	0.0681544893	0.16741052	101318.663	101356.626	101303.401	101463.587	106.961353	0	0	0	0	0	3
18	25	0.0729432555	0.177258198	101320.702	101354.267	101303.401	101463.587	109.319738	0	0	0	0	0	3
19	26	0.0784664971	0.187105876	101276.2	101348.772	101276.2	101463.587	114.814879	0	0	0	0	0	3
20	27	0.0815953546	0.196953553	101353.787	101348.964	101276.2	101463.587	114.814879	0	0	0	0	0	3
