Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0.00626576075	0.00984767767	293.199975	293.199975	293.199975	293.199975	0	0	0	0	0	0	3
2	9	0.00861977012	0.0196953553	293.200004	293.199983	293.199975	293.200004	7.96614438e-06	0	0	0	0	0	3
3	10	0.0109806089	0.029543033	293.199998	293.199986	293.199975	293.200004	1.11821894e-05	0	0	0	0	0	3
4	11	0.0135151584	0.0393907107	293.199996	293.199988	293.199975	293.200004	1.30627562e-05	0	0	0	0	0	3
5	11	0.01619452	0.0492383884	293.199998	293.19999	293.199975	293.200004	1.47200535e-05	0	0	0	0	0	3
6	12	0.0208130979	0.059086066	293.199996	293.199991	293.199975	293.200004	1.61751478e-05	0	0	0	0	0	3
7	13	0.0263413663	0.0689337437	293.199996	293.199992	293.199975	293.200004	1.7148268e-05	0	0	0	0	0	3
8	14	0.0321285776	0.0787814214	293.200003	293.199994	293.199975	293.200004	1.90365329e-05	0	0	0	0	0	3
9	16	0.0364371811	0.0886290991	293.200001	293.199995	293.199975	293.200004	1.98970446e-05	0	0	0	0	0	3
10	17	0.0383695045	0.0984767767	293.200001	293.199995	293.199975	293.200004	2.01955245e-05	0	0	0	0	0	3
11	18	0.0414361573	0.108324454	293.200009	293.199996	293.199975	293.200009	2.12454968e-05	0	0	0	0	0	3
12	19	0.0448719853	0.118172132	293.200011	293.199997	293.199975	293.200011	2.23968766e-05	0	0	0	0	0	3
13	20	0.0482396593	0.12801981	293.199998	293.199997	293.199975	293.200011	2.24500324e-05	0	0	0	0	0	3
14	21	0.0515489637	0.137867487	293.199995	293.199997	293.199975	293.200011	2.24500324e-05	0	0	0	0	0	3
15	22	0.0552736965	0.147715165	293.2	293.199998	293.199975	293.200011	2.25112822e-05	0	0	0	0	0	3
16	23	0.0618278713	0.157562843	293.200006	293.199998	293.199975	293.200011	2.34074611e-05	0	0	0	0	0	3
17	24	0.0681544893	0.16741052	293.200008	293.199999	293.199975	293.200011	2.43425739e-05	0	0	0	0	0	3
18	25	0.0729432555	0.177258198	293.200008	293.2	293.199975	293.200011	2.49214291e-05	0	0	0	0	0	3
19	26	0.0784664971	0.187105876	293.200018	293.200001	293.199975	293.200018	2.61988713e-05	0	0	0	0	0	3
20	27	0.0815953546	0.196953553	293.200001	293.200001	293.199975	293.200018	2.61988713e-05	0	0	0	0	0	3
21	28	0.0864528146	0.206801231	293.200061	293.200005	293.199975	293.200061	2.95398671e-05	0	0	0	0	0	3
22	30	0.0900744241	0.216648909	293.200004	293.200004	293.199975	293.200061	2.95398671e-05	0	0	0	0	0	3
23	31	0.0959818608	0.226496586	293.199989	293.200004	293.199975	293.200061	2.95398671e-05	0	0	0	0	0	3
24	32	0.103597436	0.236344264	293.200011	293.200004	293.199975	293.200061	2.95398671e-05	0	0	0	0	0	3
25	33	0.110276698	0.246191942	293.200037	293.200006	293.199975	293.200061	3.10841496e-05	0	0	0	0	0	3
26	34	0.120682536	0.25603962	293.200009	293.200006	293.199975	293.200061	3.13412552e-05	0	0	0	0	0	3
27	36	0.129048641	0.265887297	293.200015	293.200007	293.199975	293.200061	3.19103912e-05	0	0	0	0	0	3
28	37	0.140482747	0.275734975	293.199999	293.200006	293.199975	293.200061	3.19103912e-05	0	0	0	0	0	3
29	38	0.150802252	0.285582653	293.200018	293.200007	293.199975	293.200061	3.20718542e-05	0	0	0	0	0	3
30	39	0.163593714	0.29543033	293.200013	293.200008	293.199975	293.200061	3.25686141e-05	0	0	0	0	0	3
31	40	0.183077274	0.305278008	293.200021	293.200009	293.199975	293.200061	3.3950972e-05	0	0	0	0	0	3
32	41	0.19111261	0.315125686	293.200018	293.200009	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
33	42	0.205327712	0.324973363	293.200004	293.200009	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
34	43	0.218889731	0.334821041	293.200005	293.200009	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
35	44	0.236620288	0.344668719	293.200006	293.200008	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
36	45	0.248003719	0.354516396	293.199996	293.200008	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
37	47	0.258781672	0.364364074	293.199994	293.200007	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
38	48	0.273687232	0.374211752	293.199989	293.200006	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
39	48	0.288350079	0.384059429	293.199988	293.200005	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
40	49	0.303711836	0.393907107	293.199991	293.200005	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
41	50	0.319940335	0.403754785	293.199999	293.200004	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
42	52	0.33720546	0.413602462	293.200008	293.200005	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
43	53	0.3549657	0.42345014	293.20001	293.200005	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
44	54	0.371860784	0.433297818	293.20002	293.200006	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
45	55	0.384349468	0.443145495	293.200044	293.200007	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
46	56	0.391909475	0.452993173	293.200042	293.200008	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
47	57	0.398627401	0.462840851	293.200039	293.200008	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
48	59	0.405598712	0.472688528	293.200048	293.200009	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
49	60	0.413770907	0.482536206	293.200014	293.200009	293.199975	293.200061	3.43355235e-05	0	0	0	0	0	3
50	61	0.42533052	0.492383884	293.200062	293.20001	293.199975	293.200062	3.52864965e-05	0	0	0	0	0	3
51	62	0.435186978	0.502231561	293.200033	293.200011	293.199975	293.200062	3.57920143e-05	0	0	0	0	0	3
52	63	0.449176883	0.512079239	293.200026	293.200012	293.199988	293.200062	2.88230108e-05	0	0	0	0	0	3
53	64	0.461913479	0.521926917	293.200036	293.200013	293.199988	293.200062	2.63335515e-05	0	0	0	0	0	3
54	65	0.475818346	0.531774594	293.200021	293.200013	293.199988	293.200062	2.47848701e-05	0	0	0	0	0	3
55	66	0.487591736	0.541622272	293.200031	293.200013	293.199988	293.200062	2.36608042e-05	0	0	0	0	0	3
56	67	0.500974737	0.55146995	293.200037	293.200014	293.199988	293.200062	2.29380386e-05	0	0	0	0	0	3
57	68	0.518386964	0.561317627	293.200027	293.200015	293.199988	293.200062	2.25919546e-05	0	0	0	0	0	3
58	69	0.53076218	0.571165305	293.200008	293.200015	293.199988	293.200062	2.07425827e-05	0	0	0	0	0	3
59	70	0.545548509	0.581012983	293.200016	293.200015	293.199988	293.200062	2.00425898e-05	0	0	0	0	0	3
60	71	0.567030336	0.59086066	293.200009	293.200015	293.199988	293.200062	1.97441099e-05	0	0	0	0	0	3
61	72	0.57638453	0.600708338	293.200002	293.200015	293.199988	293.200062	1.86941376e-05	0	0	0	0	0	3
62	73	0.591855294	0.610556016	293.200005	293.200014	293.199988	293.200062	1.76322762e-05	0	0	0	0	0	3
63	74	0.609705655	0.620403693	293.20001	293.200014	293.199988	293.200062	1.76322762e-05	0	0	0	0	0	3
64	75	0.628012859	0.630251371	293.200013	293.200014	293.199988	293.200062	1.76322762e-05	0	0	0	0	0	3
65	77	0.645819118	0.640099049	293.200023	293.200015	293.199988	293.200062	1.74283522e-05	0	0	0	0	0	3
66	78	0.663118268	0.649946726	293.200024	293.200015	293.199988	293.200062	1.66259056e-05	0	0	0	0	0	3
67	79	0.675443045	0.659794404	293.200033	293.200015	293.199988	293.200062	1.61581837e-05	0	0	0	0	0	3
68	80	0.687426773	0.669642082	293.200038	293.200016	293.199988	293.200062	1.60834829e-05	0	0	0	0	0	3
69	81	0.699361993	0.679489759	293.200066	293.200017	293.199988	293.200066	1.58224747e-05	0	0	0	0	0	3
70	82	0.706617932	0.689337437	293.200054	293.200017	293.199988	293.200066	1.62404815e-05	0	0	0	0	0	3
71	83	0.713066106	0.699185115	293.200071	293.200018	293.199988	293.200071	1.45016749e-05	0	0	0	0	0	3
72	84	0.71953346	0.709032792	293.200073	293.200018	293.199988	293.200073	1.47332062e-05	0	0	0	0	0	3
73	86	0.728755607	0.71888047	293.200037	293.200019	293.199988	293.200073	1.50895859e-05	0	0	0	0	0	3
74	87	0.739757949	0.728728148	293.200093	293.20002	293.199988	293.200093	1.61162928e-05	0	0	0	0	0	3
75	88	0.746687084	0.738575825	293.200019	293.20002	293.199988	293.200093	1.58566604e-05	0	0	0	0	0	3
76	89	0.758254605	0.748423503	293.200036	293.20002	293.199988	293.200093	1.59696849e-05	0	0	0	0	0	3
77	90	0.771474586	0.758271181	293.200056	293.200021	293.199988	293.200093	1.68734729e-05	0	0	0	0	0	3
78	91	0.781483947	0.768118859	293.200047	293.200022	293.199988	293.200093	1.73431945e-05	0	0	0	0	0	3
79	92	0.796126936	0.777966536	293.200049	293.200023	293.199988	293.200093	1.8333359e-05	0	0	0	0	0	3
80	93	0.810020549	0.787814214	293.200062	293.200024	293.199988	293.200093	1.92469986e-05	0	0	0	0	0	3
81	94	0.819258627	0.797661892	293.200041	293.200024	293.199988	293.200093	1.96948722e-05	0	0	0	0	0	3
82	95	0.831219401	0.807509569	293.200032	293.200024	293.199988	293.200093	1.99546262e-05	0	0	0	0	0	3
83	96	0.8483558	0.817357247	293.200025	293.200024	293.199988	293.200093	2.00528846e-05	0	0	0	0	0	3
84	97	0.859096805	0.827204925	293.200039	293.200025	293.199988	293.200093	2.0732523e-05	0	0	0	0	0	3
85	98	0.877944864	0.837052602	293.200024	293.200026	293.199988	293.200093	2.11382111e-05	0	0	0	0	0	3
86	99	0.891592484	0.84690028	293.200018	293.200026	293.199988	293.200093	2.15150067e-05	0	0	0	0	0	3
87	100	0.904517221	0.856747958	293.200009	293.200026	293.199988	293.200093	2.17084556e-05	0	0	0	0	0	3
88	101	0.920454762	0.866595635	293.200013	293.200026	293.199988	293.200093	2.1921438e-05	0	0	0	0	0	3
89	102	0.937043099	0.876443313	293.200024	293.200027	293.199988	293.200093	2.2697515e-05	0	0	0	0	0	3
90	103	0.954208771	0.886290991	293.200034	293.200028	293.199991	293.200093	2.37223214e-05	0	0	0	0	0	3
91	104	0.970721354	0.896138668	293.200037	293.200029	293.199999	293.200093	2.47840688e-05	0	0	0	0	0	3
92	105	0.987756682	0.905986346	293.20004	293.20003	293.200002	293.200093	2.55978265e-05	0	0	0	0	0	3
93	106	1	0.915834024	293.200048	293.200031	293.200002	293.200093	2.62200398e-05	0	0	0	0	0	3
