Iteration	CPUTime	PhysTime	Travels
1	7	0.00626576075	0.00984767767
2	9	0.00861977012	0.0196953553
3	10	0.0109806089	0.029543033
4	11	0.0135151584	0.0393907107
5	11	0.01619452	0.0492383884
6	12	0.0208130979	0.059086066
7	13	0.0263413663	0.0689337437
8	14	0.0321285776	0.0787814214
9	16	0.0364371811	0.0886290991
10	17	0.0383695045	0.0984767767
11	18	0.0414361573	0.108324454
12	19	0.0448719853	0.118172132
13	20	0.0482396593	0.12801981
14	21	0.0515489637	0.137867487
15	22	0.0552736965	0.147715165
16	23	0.0618278713	0.157562843
17	24	0.0681544893	0.16741052
18	25	0.0729432555	0.177258198
19	26	0.0784664971	0.187105876
20	27	0.0815953546	0.196953553
21	28	0.0864528146	0.206801231
22	30	0.0900744241	0.216648909
23	31	0.0959818608	0.226496586
24	32	0.103597436	0.236344264
25	33	0.110276698	0.246191942
26	34	0.120682536	0.25603962
27	36	0.129048641	0.265887297
28	37	0.140482747	0.275734975
29	38	0.150802252	0.285582653
30	39	0.163593714	0.29543033
31	40	0.183077274	0.305278008
32	41	0.19111261	0.315125686
33	42	0.205327712	0.324973363
34	43	0.218889731	0.334821041
35	44	0.236620288	0.344668719
36	45	0.248003719	0.354516396
37	47	0.258781672	0.364364074
38	48	0.273687232	0.374211752
39	48	0.288350079	0.384059429
40	49	0.303711836	0.393907107
41	50	0.319940335	0.403754785
42	52	0.33720546	0.413602462
43	53	0.3549657	0.42345014
44	54	0.371860784	0.433297818
45	55	0.384349468	0.443145495
46	56	0.391909475	0.452993173
47	57	0.398627401	0.462840851
48	59	0.405598712	0.472688528
49	60	0.413770907	0.482536206
50	61	0.42533052	0.492383884
51	62	0.435186978	0.502231561
52	63	0.449176883	0.512079239
53	64	0.461913479	0.521926917
54	65	0.475818346	0.531774594
55	66	0.487591736	0.541622272
56	67	0.500974737	0.55146995
57	68	0.518386964	0.561317627
58	69	0.53076218	0.571165305
59	70	0.545548509	0.581012983
60	71	0.567030336	0.59086066
61	72	0.57638453	0.600708338
62	73	0.591855294	0.610556016
63	74	0.609705655	0.620403693
64	75	0.628012859	0.630251371
65	77	0.645819118	0.640099049
66	78	0.663118268	0.649946726
67	79	0.675443045	0.659794404
68	80	0.687426773	0.669642082
69	81	0.699361993	0.679489759
70	82	0.706617932	0.689337437
71	83	0.713066106	0.699185115
72	84	0.71953346	0.709032792
73	86	0.728755607	0.71888047
74	87	0.739757949	0.728728148
75	88	0.746687084	0.738575825
76	89	0.758254605	0.748423503
77	90	0.771474586	0.758271181
78	91	0.781483947	0.768118859
79	92	0.796126936	0.777966536
80	93	0.810020549	0.787814214
81	94	0.819258627	0.797661892
82	95	0.831219401	0.807509569
83	96	0.8483558	0.817357247
84	97	0.859096805	0.827204925
85	98	0.877944864	0.837052602
86	99	0.891592484	0.84690028
87	100	0.904517221	0.856747958
88	101	0.920454762	0.866595635
89	102	0.937043099	0.876443313
90	103	0.954208771	0.886290991
91	104	0.970721354	0.896138668
92	105	0.987756682	0.905986346
93	106	1	0.915834024
