Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.00626576075	0.00984767767	0	0	0	0	0	0	0	0	0	0	3
2	3	0.00628001262	0.0196953553	0	0	0	0	0	0	0	0	0	0	3
3	3	0.00630278298	0.029543033	0	0	0	0	0	0	0	0	0	0	3
4	4	0.00632696671	0.0393907107	0	0	0	0	0	0	0	0	0	0	3
5	4	0.00635313572	0.0492383884	0	0	0	0	0	0	0	0	0	0	3
6	5	0.00639586892	0.059086066	0	0	0	0	0	0	0	0	0	0	3
7	6	0.00644466228	0.0689337437	0	0	0	0	0	0	0	0	0	0	3
8	6	0.00650038148	0.0787814214	0	0	0	0	0	0	0	0	0	0	3
9	6	0.00656305674	0.0886290991	0	0	0	0	0	0	0	0	0	0	3
10	7	0.00663430739	0.0984767767	0	0	0	0	0	0	0	0	0	0	3
11	7	0.00675567494	0.108324454	0	0	0	0	0	0	0	0	0	0	3
12	8	0.00689832325	0.118172132	0	0	0	0	0	0	0	0	0	0	3
13	8	0.00705950349	0.12801981	0	0	0	0	0	0	0	0	0	0	3
14	9	0.00723774639	0.137867487	0	0	0	0	0	0	0	0	0	0	3
15	9	0.0074428578	0.147715165	0	0	0	0	0	0	0	0	0	0	3
16	10	0.00779053395	0.157562843	0	0	0	0	0	0	0	0	0	0	3
17	10	0.00811129293	0.16741052	0	0	0	0	0	0	0	0	0	0	3
18	11	0.00850579856	0.177258198	0	0	0	0	0	0	0	0	0	0	3
19	12	0.00889031972	0.187105876	0	0	0	0	0	0	0	0	0	0	3
20	12	0.00934661917	0.196953553	0	0	0	0	0	0	0	0	0	0	3
21	13	0.0100965	0.206801231	0	0	0	0	0	0	0	0	0	0	3
22	13	0.0109364234	0.216648909	0	0	0	0	0	0	0	0	0	0	3
23	14	0.01174376	0.226496586	0	0	0	0	0	0	0	0	0	0	3
24	14	0.0126501397	0.236344264	0	0	0	0	0	0	0	0	0	0	3
25	15	0.0135652677	0.246191942	0	0	0	0	0	0	0	0	0	0	3
26	16	0.0148903751	0.25603962	0	0	0	0	0	0	0	0	0	0	3
27	16	0.0163021381	0.265887297	0	0	0	0	0	0	0	0	0	0	3
28	17	0.0171430274	0.275734975	0	0	0	0	0	0	0	0	0	0	3
29	18	0.0178925957	0.285582653	0	0	0	0	0	0	0	0	0	0	3
30	18	0.0188270382	0.29543033	0	0	0	0	0	0	0	0	0	0	3
31	19	0.0204981416	0.305278008	0	0	0	0	0	0	0	0	0	0	3
32	19	0.0215811903	0.315125686	0	0	0	0	0	0	0	0	0	0	3
33	20	0.0226881034	0.324973363	0	0	0	0	0	0	0	0	0	0	3
34	20	0.0237672396	0.334821041	0	0	0	0	0	0	0	0	0	0	3
35	21	0.0247754727	0.344668719	0	0	0	0	0	0	0	0	0	0	3
36	21	0.0261236008	0.354516396	0	0	0	0	0	0	0	0	0	0	3
37	22	0.0271979356	0.364364074	0	0	0	0	0	0	0	0	0	0	3
38	22	0.0283610386	0.374211752	0	0	0	0	0	0	0	0	0	0	3
39	23	0.029698846	0.384059429	0	0	0	0	0	0	0	0	0	0	3
40	23	0.0312244874	0.393907107	0	0	0	0	0	0	0	0	0	0	3
41	23	0.0329621346	0.403754785	0	0	0	0	0	0	0	0	0	0	3
42	24	0.0344988086	0.413602462	0	0	0	0	0	0	0	0	0	0	3
43	24	0.0362554121	0.42345014	0	0	0	0	0	0	0	0	0	0	3
44	25	0.0379871105	0.433297818	0	0	0	0	0	0	0	0	0	0	3
