Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.000239292501	0.00984767767	124.358357	124.358357	124.358357	124.358357	0	0	0	0	0	0	3
2	3	0.000461864813	0.0196953553	18.5190124	73.3544552	18.5190124	124.358357	51.003902	0	0	0	0	0	3
3	3	0.000677908924	0.029543033	7.35137141	52.3198043	7.35137141	124.358357	72.0385529	0	0	0	0	0	3
4	3	0.000890520582	0.0393907107	6.91745834	41.4800009	6.91745834	124.358357	82.8783563	0	0	0	0	0	3
5	4	0.00110745405	0.0492383884	6.55785487	34.6392816	6.55785487	124.358357	89.7190756	0	0	0	0	0	3
6	4	0.00148044698	0.059086066	7.77804728	27.8716968	6.55785487	124.358357	96.4866604	0	0	0	0	0	3
7	5	0.00191463425	0.0689337437	9.05299444	23.604124	6.55785487	124.358357	100.754233	0	0	0	0	0	3
8	5	0.00237309159	0.0787814214	8.47515062	20.6813591	6.55785487	124.358357	103.676998	0	0	0	0	0	3
9	6	0.00284780299	0.0886290991	7.89570419	18.5500684	6.55785487	124.358357	105.808289	0	0	0	0	0	3
10	6	0.00334366708	0.0984767767	6.87554954	16.8187433	6.55785487	124.358357	107.539614	0	0	0	0	0	3
11	6	0.00412847249	0.108324454	7.40768342	15.02974	6.55785487	124.358357	109.328617	0	0	0	0	0	3
12	7	0.00491303499	0.118172132	6.84190103	13.7222241	6.55785487	124.358357	110.636133	0	0	0	0	0	3
13	7	0.00568252719	0.12801981	7.08379505	12.8232897	6.55785487	124.358357	111.535068	0	0	0	0	0	3
14	8	0.00642099771	0.137867487	8.82676997	12.3636552	6.55785487	124.358357	111.994702	0	0	0	0	0	3
15	8	0.00704977096	0.147715165	7.36593986	11.917906	6.55785487	124.358357	112.440451	0	0	0	0	0	3
16	9	0.00806238643	0.157562843	9.39669054	11.6012477	6.55785487	124.358357	112.75711	0	0	0	0	0	3
17	9	0.00872819021	0.16741052	8.08747118	11.3332098	6.55785487	124.358357	113.025147	0	0	0	0	0	3
18	10	0.00937690945	0.177258198	7.98748345	11.1017436	6.55785487	124.358357	113.256614	0	0	0	0	0	3
19	10	0.0100558151	0.187105876	6.1655347	10.7684817	6.1655347	124.358357	113.589875	0	0	0	0	0	3
20	11	0.0109208156	0.196953553	7.36947844	10.4992583	6.1655347	124.358357	113.859099	0	0	0	0	0	3
21	12	0.0122399002	0.206801231	6.56121313	10.0748582	6.1655347	124.358357	114.283499	0	0	0	0	0	3
22	12	0.0136673304	0.216648909	8.45294356	9.90546376	6.1655347	124.358357	114.452893	0	0	0	0	0	3
23	13	0.0146824142	0.226496586	8.020812	9.77516642	6.1655347	124.358357	114.583191	0	0	0	0	0	3
24	13	0.0153970185	0.236344264	7.69067311	9.6784212	6.1655347	124.358357	114.679936	0	0	0	0	0	3
25	14	0.0161381137	0.246191942	7.611738	9.58351488	6.1655347	124.358357	114.774842	0	0	0	0	0	3
26	15	0.0172029459	0.25603962	7.13791532	9.43213656	6.1655347	124.358357	114.926221	0	0	0	0	0	3
27	15	0.0181916089	0.265887297	9.50215932	9.4359421	6.1655347	124.358357	114.926221	0	0	0	0	0	3
28	16	0.0198348944	0.275734975	9.82077912	9.46782516	6.1655347	124.358357	114.926221	0	0	0	0	0	3
