Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.000171001836	0.00984767767	132153.48	132153.48	132153.48	132153.48	0	0	0	0	0	0	3
2	3	0.000331710224	0.0196953553	104017.951	118522.258	104017.951	132153.48	13631.2215	0	0	0	0	0	3
3	4	0.000488878734	0.029543033	103202.324	113597.088	103202.324	132153.48	18556.3921	0	0	0	0	0	3
4	4	0.000643661688	0.0393907107	105207.409	111579.6	103202.324	132153.48	20573.8793	0	0	0	0	0	3
5	5	0.000801443904	0.0492383884	104206.559	110128.052	103202.324	132153.48	22025.4279	0	0	0	0	0	3
6	5	0.00107003424	0.059086066	104103.045	108615.709	103202.324	132153.48	23537.7707	0	0	0	0	0	3
7	5	0.0013851141	0.0689337437	103120.98	107365.791	103120.98	132153.48	24787.6883	0	0	0	0	0	3
8	6	0.00173024776	0.0787814214	102290.796	106353.479	102290.796	132153.48	25800.0012	0	0	0	0	0	3
9	6	0.00208106873	0.0886290991	102009.372	105621.161	102009.372	132153.48	26532.3189	0	0	0	0	0	3
10	7	0.00244932859	0.0984767767	101756.657	105040.128	101756.657	132153.48	27113.3522	0	0	0	0	0	3
11	7	0.00300443486	0.108324454	101529.572	104391.509	101529.572	132153.48	27761.9706	0	0	0	0	0	3
12	8	0.00354422222	0.118172132	102459.338	104097.238	101529.572	132153.48	28056.2416	0	0	0	0	0	3
13	8	0.00408180258	0.12801981	101953.371	103814.887	101529.572	132153.48	28338.5926	0	0	0	0	0	3
14	9	0.00461731342	0.137867487	100033.781	103376.359	100033.781	132153.48	28777.1211	0	0	0	0	0	3
15	9	0.0050994637	0.147715165	100526.716	103106.927	100033.781	132153.48	29046.5526	0	0	0	0	0	3
16	10	0.00562450728	0.157562843	100983.488	102908.706	100033.781	132153.48	29244.7741	0	0	0	0	0	3
17	10	0.00611401693	0.16741052	100715.463	102733.107	100033.781	132153.48	29420.3728	0	0	0	0	0	3
18	11	0.00666296052	0.177258198	100860.887	102578.86	100033.781	132153.48	29574.62	0	0	0	0	0	3
19	12	0.00733664098	0.187105876	100486.952	102386.772	100033.781	132153.48	29766.7076	0	0	0	0	0	3
20	12	0.007962789	0.196953553	94136.3821	101738.009	94136.3821	132153.48	30415.4709	0	0	0	0	0	3
21	13	0.00897365026	0.206801231	95153.1784	100996.243	94136.3821	132153.48	31157.237	0	0	0	0	0	3
22	13	0.00989405776	0.216648909	92670.9763	100221.774	92670.9763	132153.48	31931.7057	0	0	0	0	0	3
23	14	0.0103586548	0.226496586	99044.7193	100168.982	92670.9763	132153.48	31984.4979	0	0	0	0	0	3
24	15	0.0108371262	0.236344264	76687.774	99132.2598	76687.774	132153.48	33021.22	0	0	0	0	0	3
25	15	0.0112200883	0.246191942	94888.4951	98987.4124	76687.774	132153.48	33166.0674	0	0	0	0	0	3
26	16	0.0118385858	0.25603962	99723.9227	99025.8908	76687.774	132153.48	33166.0674	0	0	0	0	0	3
27	16	0.012825171	0.265887297	103845.591	99396.6496	76687.774	132153.48	33166.0674	0	0	0	0	0	3
28	17	0.0140127618	0.275734975	86530.1328	98306.2038	76687.774	132153.48	33847.2761	0	0	0	0	0	3
