Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.000100925651	0.00984767767	293.201901	293.201901	293.201901	293.201901	0	0	0	0	0	0	3
2	3	0.000190052491	0.0196953553	293.195149	293.198735	293.195149	293.201901	0.00316622848	0	0	0	0	0	3
3	4	0.000274930045	0.029543033	293.206887	293.201251	293.195149	293.206887	0.00316622848	0	0	0	0	0	3
4	4	0.000359735968	0.0393907107	293.210662	293.20347	293.195149	293.210662	0.0047355153	0	0	0	0	0	3
5	5	0.000446876366	0.0492383884	293.220121	293.206717	293.195149	293.220121	0.00798242094	0	0	0	0	0	3
6	6	0.000600085754	0.059086066	293.213213	293.208375	293.195149	293.220121	0.0096408328	0	0	0	0	0	3
7	6	0.000790165023	0.0689337437	293.211981	293.209243	293.195149	293.220121	0.0105082456	0	0	0	0	0	3
8	7	0.00100063743	0.0787814214	293.209923	293.209386	293.195149	293.220121	0.0106514246	0	0	0	0	0	3
9	8	0.0012086204	0.0886290991	293.22501	293.212075	293.195149	293.22501	0.0133400228	0	0	0	0	0	3
10	9	0.00143105264	0.0984767767	293.218157	293.21302	293.195149	293.22501	0.0142854303	0	0	0	0	0	3
11	9	0.00178474472	0.108324454	293.214844	293.213381	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
12	10	0.00212559939	0.118172132	293.209799	293.212807	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
13	10	0.00231229636	0.12801981	293.207478	293.212377	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
14	11	0.00263818579	0.137867487	293.207654	293.211793	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
15	11	0.0030399103	0.147715165	293.208501	293.211358	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
16	12	0.00367007275	0.157562843	293.20914	293.210977	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
17	13	0.0040585289	0.16741052	293.21015	293.210898	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
18	14	0.00464486169	0.177258198	293.210663	293.210868	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
19	14	0.00504156293	0.187105876	293.210865	293.210868	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
20	15	0.00553334655	0.196953553	293.215315	293.211263	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
21	15	0.00643937057	0.206801231	293.211215	293.211257	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
22	16	0.00722602607	0.216648909	293.212024	293.21134	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
23	16	0.00833853776	0.226496586	293.210086	293.211173	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
24	17	0.00926133044	0.236344264	293.211063	293.211162	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
25	17	0.0101483044	0.246191942	293.211344	293.211178	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
26	18	0.0116008197	0.25603962	293.210853	293.211137	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
27	18	0.0128660212	0.265887297	293.210262	293.211051	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
28	19	0.0145965573	0.275734975	293.208672	293.210769	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
29	19	0.0156506402	0.285582653	293.209666	293.210695	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
30	20	0.0168245182	0.29543033	293.20963	293.21062	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
31	20	0.0187819366	0.305278008	293.209129	293.210465	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
32	21	0.0207146083	0.315125686	293.208526	293.210284	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
33	21	0.0221999484	0.324973363	293.208437	293.21016	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
34	21	0.0238999391	0.334821041	293.208964	293.210075	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
35	22	0.0257483332	0.344668719	293.208998	293.209998	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
36	22	0.0276159096	0.354516396	293.209193	293.209944	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
37	23	0.0295983503	0.364364074	293.209854	293.209938	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
38	23	0.0316909423	0.374211752	293.209415	293.209903	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
39	24	0.0337536441	0.384059429	293.21041	293.209934	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
40	24	0.0357534606	0.393907107	293.211679	293.210032	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
41	25	0.0370864031	0.403754785	293.212137	293.210107	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
42	25	0.0378477229	0.413602462	293.213077	293.210167	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
43	26	0.0385095265	0.42345014	293.211926	293.210197	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
44	27	0.0397089897	0.433297818	293.209744	293.210184	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
45	27	0.0410594565	0.443145495	293.217645	293.210429	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
46	28	0.041769568	0.452993173	293.210006	293.210422	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
47	28	0.0429007425	0.462840851	293.210818	293.210432	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
48	29	0.0444192122	0.472688528	293.211327	293.210463	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
49	29	0.0453567229	0.482536206	293.210689	293.210468	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
50	30	0.0467856458	0.492383884	293.21104	293.210485	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
51	30	0.0487524448	0.502231561	293.211135	293.210511	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
52	31	0.0501046652	0.512079239	293.211024	293.210542	293.195149	293.22501	0.0146468839	0	0	0	0	0	3
53	31	0.0519741136	0.521926917	293.21	293.210549	293.206887	293.22501	0.0121299702	0	0	0	0	0	3
54	32	0.0530117974	0.531774594	293.20942	293.210533	293.207478	293.22501	0.00991136864	0	0	0	0	0	3
55	32	0.055338191	0.541622272	293.208845	293.210461	293.207478	293.22501	0.00666446299	0	0	0	0	0	3
56	33	0.0570086188	0.55146995	293.208657	293.210393	293.207478	293.22501	0.00500605113	0	0	0	0	0	3
57	33	0.0586473566	0.561317627	293.208541	293.210334	293.207478	293.22501	0.00413863833	0	0	0	0	0	3
58	34	0.0605408202	0.571165305	293.208491	293.21027	293.207478	293.22501	0.0039954593	0	0	0	0	0	3
59	34	0.0618774866	0.581012983	293.209148	293.210246	293.207478	293.22501	0.00347834528	0	0	0	0	0	3
60	34	0.0636189029	0.59086066	293.208327	293.210144	293.207478	293.218157	0.00347834528	0	0	0	0	0	3
61	35	0.0655329373	0.600708338	293.208714	293.210073	293.207478	293.217645	0.00347834528	0	0	0	0	0	3
62	35	0.0675923994	0.610556016	293.209445	293.210028	293.207478	293.217645	0.00290394851	0	0	0	0	0	3
63	36	0.0694420883	0.620403693	293.209685	293.21002	293.207478	293.217645	0.00247365057	0	0	0	0	0	3
64	36	0.0715711541	0.630251371	293.2098	293.21002	293.207654	293.217645	0.00189024385	0	0	0	0	0	3
65	37	0.073259369	0.640099049	293.210285	293.210037	293.208327	293.217645	0.00145515177	0	0	0	0	0	3
66	37	0.0749880656	0.649946726	293.211028	293.210069	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
67	38	0.0761742701	0.659794404	293.212187	293.210112	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
68	38	0.076947888	0.669642082	293.213235	293.210145	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
69	39	0.0776100679	0.679489759	293.212045	293.210158	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
70	40	0.0786025958	0.689337437	293.20988	293.210151	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
71	40	0.0798426004	0.699185115	293.20947	293.210105	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
72	41	0.0811600151	0.709032792	293.208444	293.210062	293.208327	293.217645	0.00143704549	0	0	0	0	0	3
73	41	0.082891793	0.71888047	293.210403	293.21005	293.208327	293.217645	0.00127461852	0	0	0	0	0	3
74	42	0.0847780425	0.728728148	293.211546	293.210086	293.208327	293.217645	0.00127461852	0	0	0	0	0	3
75	43	0.0865677144	0.738575825	293.211757	293.210113	293.208327	293.217645	0.00127461852	0	0	0	0	0	3
76	43	0.0888319613	0.748423503	293.211625	293.210143	293.208327	293.217645	0.0012339763	0	0	0	0	0	3
77	44	0.0901341795	0.758271181	293.211709	293.210156	293.208327	293.217645	0.00114792285	0	0	0	0	0	3
78	44	0.0919865739	0.768118859	293.210059	293.210152	293.208327	293.217645	0.000865849454	0	0	0	0	0	3
79	45	0.0942683116	0.777966536	293.209367	293.210161	293.208327	293.217645	0.000791573317	0	0	0	0	0	3
80	45	0.0955789031	0.787814214	293.210137	293.210167	293.208327	293.217645	0.000717263493	0	0	0	0	0	3
81	46	0.0972323116	0.797661892	293.209347	293.210158	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
82	46	0.0991720743	0.807509569	293.208609	293.210146	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
83	47	0.100749496	0.817357247	293.208916	293.210161	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
84	47	0.102468994	0.827204925	293.208898	293.210166	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
85	48	0.104281159	0.837052602	293.20902	293.210165	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
86	48	0.106151093	0.84690028	293.209215	293.21017	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
87	48	0.108099458	0.856747958	293.209851	293.210185	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
88	49	0.110130438	0.866595635	293.209648	293.21018	293.208327	293.217645	0.000646333195	0	0	0	0	0	3
89	49	0.1115909	0.876443313	293.210415	293.210204	293.208327	293.217645	0.000615352374	0	0	0	0	0	3
90	50	0.113528299	0.886290991	293.211059	293.21022	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
91	50	0.114972403	0.896138668	293.212233	293.210219	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
92	51	0.116083491	0.905986346	293.212959	293.210226	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
93	51	0.116730956	0.915834024	293.211012	293.210204	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
94	52	0.117919423	0.925681701	293.211663	293.210212	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
95	53	0.119226612	0.935529379	293.213078	293.210266	293.208327	293.217645	0.000529716404	0	0	0	0	0	3
96	53	0.120370226	0.945377057	293.21015	293.210139	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
97	54	0.12193379	0.955224734	293.211616	293.210169	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
98	54	0.123071466	0.965072412	293.211238	293.210175	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
99	55	0.124331337	0.97492009	293.21107	293.210167	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
100	55	0.125961403	0.984767767	293.210895	293.210176	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
101	56	0.127323474	0.994615445	293.210713	293.210169	293.208327	293.213235	0.000529716404	0	0	0	0	0	3
102	57	0.129137602	1.00446312	293.210718	293.210158	293.208327	293.213235	0.000529716404	0.00198399469	0	0	0	0	3
103	57	0.131199695	1.0143108	293.210235	293.210146	293.208327	293.213235	0.000529716404	0.00198399469	0	0	0	0	3
104	58	0.13255676	1.02415848	293.209489	293.210138	293.208327	293.213235	0.000513390047	0.00198399469	0	0	0	0	3
105	58	0.134964264	1.03400616	293.209281	293.210122	293.208327	293.213235	0.00044175081	0.00198399469	0	0	0	0	3
106	58	0.136306437	1.04385383	293.209185	293.210143	293.208327	293.213235	0.000373576675	0.00198399469	0	0	0	0	3
