Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	9.23472925e-05	0.00984767767	0	0	0	0	0	0	0	0	0	0	3
2	4	0.000192213384	0.0196953553	0	0	0	0	0	0	0	0	0	0	3
3	4	0.000291291591	0.029543033	0	0	0	0	0	0	0	0	0	0	3
4	5	0.000384554122	0.0393907107	0	0	0	0	0	0	0	0	0	0	3
5	5	0.000479593701	0.0492383884	0	0	0	0	0	0	0	0	0	0	3
6	7	0.000647949827	0.059086066	0	0	0	0	0	0	0	0	0	0	3
7	7	0.000861756473	0.0689337437	0	0	0	0	0	0	0	0	0	0	3
8	8	0.00108107564	0.0787814214	0	0	0	0	0	0	0	0	0	0	3
9	8	0.00131386986	0.0886290991	0	0	0	0	0	0	0	0	0	0	3
10	9	0.0015453664	0.0984767767	0	0	0	0	0	0	0	0	0	0	3
11	10	0.00190403487	0.108324454	0	0	0	0	0	0	0	0	0	0	3
12	10	0.00222220483	0.118172132	0	0	0	0	0	0	0	0	0	0	3
13	11	0.00233459074	0.12801981	0	0	0	0	0	0	0	0	0	0	3
14	12	0.00246588317	0.137867487	0	0	0	0	0	0	0	0	0	0	3
15	13	0.00263967106	0.147715165	0	0	0	0	0	0	0	0	0	0	3
16	13	0.00293799959	0.157562843	0	0	0	0	0	0	0	0	0	0	3
17	14	0.00312291115	0.16741052	0	0	0	0	0	0	0	0	0	0	3
18	14	0.00335905763	0.177258198	0	0	0	0	0	0	0	0	0	0	3
19	15	0.00358167492	0.187105876	0	0	0	0	0	0	0	0	0	0	3
20	15	0.00381486729	0.196953553	0	0	0	0	0	0	0	0	0	0	3
21	16	0.00429210182	0.206801231	0	0	0	0	0	0	0	0	0	0	3
22	16	0.00476260133	0.216648909	0	0	0	0	0	0	0	0	0	0	3
23	17	0.00524415024	0.226496586	0	0	0	0	0	0	0	0	0	0	3
24	18	0.00566855574	0.236344264	0	0	0	0	0	0	0	0	0	0	3
25	18	0.00615515784	0.246191942	0	0	0	0	0	0	0	0	0	0	3
26	19	0.00716333819	0.25603962	0	0	0	0	0	0	0	0	0	0	3
27	19	0.00783806457	0.265887297	0	0	0	0	0	0	0	0	0	0	3
28	20	0.00858442219	0.275734975	0	0	0	0	0	0	0	0	0	0	3
29	20	0.00960392862	0.285582653	0	0	0	0	0	0	0	0	0	0	3
30	21	0.0109113983	0.29543033	0	0	0	0	0	0	0	0	0	0	3
31	21	0.0127832534	0.305278008	0	0	0	0	0	0	0	0	0	0	3
32	21	0.0140628175	0.315125686	0	0	0	0	0	0	0	0	0	0	3
33	22	0.0153713335	0.324973363	0	0	0	0	0	0	0	0	0	0	3
34	22	0.0168639654	0.334821041	0	0	0	0	0	0	0	0	0	0	3
35	23	0.0184715168	0.344668719	0	0	0	0	0	0	0	0	0	0	3
36	23	0.0200768919	0.354516396	0	0	0	0	0	0	0	0	0	0	3
37	24	0.0217816155	0.364364074	0	0	0	0	0	0	0	0	0	0	3
38	24	0.0229347217	0.374211752	0	0	0	0	0	0	0	0	0	0	3
39	25	0.024433855	0.384059429	0	0	0	0	0	0	0	0	0	0	3
40	25	0.0256424944	0.393907107	0	0	0	0	0	0	0	0	0	0	3
41	26	0.0267673033	0.403754785	0	0	0	0	0	0	0	0	0	0	3
42	26	0.0273488377	0.413602462	0	0	0	0	0	0	0	0	0	0	3
43	27	0.0282008629	0.42345014	0	0	0	0	0	0	0	0	0	0	3
44	28	0.0293613566	0.433297818	0	0	0	0	0	0	0	0	0	0	3
45	28	0.030252838	0.443145495	0	0	0	0	0	0	0	0	0	0	3
46	29	0.0310865355	0.452993173	0	0	0	0	0	0	0	0	0	0	3
47	29	0.0322794168	0.462840851	0	0	0	0	0	0	0	0	0	0	3
48	30	0.0335132932	0.472688528	0	0	0	0	0	0	0	0	0	0	3
49	30	0.0349420076	0.482536206	0	0	0	0	0	0	0	0	0	0	3
50	31	0.03650693	0.492383884	0	0	0	0	0	0	0	0	0	0	3
51	31	0.0378426053	0.502231561	0	0	0	0	0	0	0	0	0	0	3
52	32	0.0391715561	0.512079239	0	0	0	0	0	0	0	0	0	0	3
53	32	0.0402662821	0.521926917	0	0	0	0	0	0	0	0	0	0	3
54	33	0.0419412871	0.531774594	0	0	0	0	0	0	0	0	0	0	3
55	33	0.0434903324	0.541622272	0	0	0	0	0	0	0	0	0	0	3
56	34	0.0450838527	0.55146995	0	0	0	0	0	0	0	0	0	0	3
57	34	0.046407568	0.561317627	0	0	0	0	0	0	0	0	0	0	3
58	35	0.0477654592	0.571165305	0	0	0	0	0	0	0	0	0	0	3
59	35	0.0492999819	0.581012983	0	0	0	0	0	0	0	0	0	0	3
60	35	0.0509499143	0.59086066	0	0	0	0	0	0	0	0	0	0	3
61	36	0.0525228563	0.600708338	0	0	0	0	0	0	0	0	0	0	3
62	36	0.0541952888	0.610556016	0	0	0	0	0	0	0	0	0	0	3
63	37	0.0554604025	0.620403693	0	0	0	0	0	0	0	0	0	0	3
64	38	0.0566314946	0.630251371	0	0	0	0	0	0	0	0	0	0	3
65	38	0.0578586098	0.640099049	0	0	0	0	0	0	0	0	0	0	3
66	39	0.0582279026	0.649946726	0	0	0	0	0	0	0	0	0	0	3
67	39	0.0588948105	0.659794404	0	0	0	0	0	0	0	0	0	0	3
68	40	0.0599265222	0.669642082	0	0	0	0	0	0	0	0	0	0	3
69	41	0.061087731	0.679489759	0	0	0	0	0	0	0	0	0	0	3
70	42	0.0620505312	0.689337437	0	0	0	0	0	0	0	0	0	0	3
71	42	0.0630700732	0.699185115	0	0	0	0	0	0	0	0	0	0	3
72	43	0.0644443771	0.709032792	0	0	0	0	0	0	0	0	0	0	3
73	43	0.0655348315	0.71888047	0	0	0	0	0	0	0	0	0	0	3
74	44	0.0671173732	0.728728148	0	0	0	0	0	0	0	0	0	0	3
75	44	0.0682092772	0.738575825	0	0	0	0	0	0	0	0	0	0	3
76	45	0.0694522998	0.748423503	0	0	0	0	0	0	0	0	0	0	3
77	45	0.0708309806	0.758271181	0	0	0	0	0	0	0	0	0	0	3
78	46	0.0722745653	0.768118859	0	0	0	0	0	0	0	0	0	0	3
79	46	0.0739206629	0.777966536	0	0	0	0	0	0	0	0	0	0	3
80	47	0.0750304958	0.787814214	0	0	0	0	0	0	0	0	0	0	3
81	47	0.0765735744	0.797661892	0	0	0	0	0	0	0	0	0	0	3
82	48	0.0778113057	0.807509569	0	0	0	0	0	0	0	0	0	0	3
83	48	0.0791634223	0.817357247	0	0	0	0	0	0	0	0	0	0	3
84	49	0.0806755044	0.827204925	0	0	0	0	0	0	0	0	0	0	3
85	49	0.082319417	0.837052602	0	0	0	0	0	0	0	0	0	0	3
86	49	0.0838965264	0.84690028	0	0	0	0	0	0	0	0	0	0	3
87	50	0.0855756599	0.856747958	0	0	0	0	0	0	0	0	0	0	3
88	50	0.0871659312	0.866595635	0	0	0	0	0	0	0	0	0	0	3
89	51	0.0883265183	0.876443313	0	0	0	0	0	0	0	0	0	0	3
90	52	0.089204308	0.886290991	0	0	0	0	0	0	0	0	0	0	3
91	52	0.0899001123	0.896138668	0	0	0	0	0	0	0	0	0	0	3
92	53	0.0908801795	0.905986346	0	0	0	0	0	0	0	0	0	0	3
93	54	0.0919359244	0.915834024	0	0	0	0	0	0	0	0	0	0	3
94	54	0.0929714979	0.925681701	0	0	0	0	0	0	0	0	0	0	3
95	55	0.0943091796	0.935529379	0	0	0	0	0	0	0	0	0	0	3
96	55	0.0957191023	0.945377057	0	0	0	0	0	0	0	0	0	0	3
97	56	0.0971466588	0.955224734	0	0	0	0	0	0	0	0	0	0	3
98	56	0.0987605851	0.965072412	0	0	0	0	0	0	0	0	0	0	3
99	57	0.0997843029	0.97492009	0	0	0	0	0	0	0	0	0	0	3
100	57	0.101302094	0.984767767	0	0	0	0	0	0	0	0	0	0	3
101	59	0.102918459	0.994615445	0	0	0	0	0	0	0	0	0	0	3
102	59	0.104569798	1.00446312	0	0	0	0	0	5e-06	0	0	0	0	3
103	59	0.105717532	1.0143108	0	0	0	0	0	5e-06	0	0	0	0	3
104	60	0.10742332	1.02415848	0	0	0	0	0	5e-06	0	0	0	0	3
105	60	0.108682568	1.03400616	0	0	0	0	0	5e-06	0	0	0	0	3
106	61	0.110110344	1.04385383	0	0	0	0	0	5e-06	0	0	0	0	3
107	61	0.11162589	1.05370151	0	0	0	0	0	5e-06	0	0	0	0	3
108	62	0.113191861	1.06354919	0	0	0	0	0	5e-06	0	0	0	0	3
109	62	0.114800027	1.07339687	0	0	0	0	0	5e-06	0	0	0	0	3
110	63	0.116558323	1.08324454	0	0	0	0	0	5e-06	0	0	0	0	3
111	63	0.118056296	1.09309222	0	0	0	0	0	5e-06	0	0	0	0	3
112	64	0.119170361	1.1029399	0	0	0	0	0	5e-06	0	0	0	0	3
113	65	0.120264101	1.11278758	0	0	0	0	0	5e-06	0	0	0	0	3
114	65	0.120858592	1.12263525	0	0	0	0	0	5e-06	0	0	0	0	3
115	66	0.121351903	1.13248293	0	0	0	0	0	5e-06	0	0	0	0	3
116	66	0.122212343	1.14233061	0	0	0	0	0	5e-06	0	0	0	0	3
117	67	0.123271544	1.15217829	0	0	0	0	0	5e-06	0	0	0	0	3
118	68	0.124254372	1.16202597	0	0	0	0	0	5e-06	0	0	0	0	3
119	68	0.125596522	1.17187364	0	0	0	0	0	5e-06	0	0	0	0	3
120	69	0.126514166	1.18172132	0	0	0	0	0	5e-06	0	0	0	0	3
121	69	0.128020041	1.191569	0	0	0	0	0	5e-06	0	0	0	0	3
122	70	0.129157197	1.20141668	0	0	0	0	0	5e-06	0	0	0	0	3
123	71	0.130419765	1.21126435	0	0	0	0	0	5e-06	0	0	0	0	3
